,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,75,run01,CD,C,2,reward,matched,1.551034,,,1.0,0.0,,,
1,75,run01,EF,E,1,punish,mismatched,1.600133,,,,,0.0,1.0,
2,75,run01,AB,B,2,punish,matched,1.598518,1.0,0.0,,,,,
3,75,run01,AB,B,2,punish,matched,1.612984,1.0,0.0,,,,,explore_punish
4,75,run01,EF,E,1,reward,matched,1.611698,,,,,0.5,0.5,explore_punish
5,75,run01,EF,E,1,reward,matched,1.593160,,,,,0.6666666666666666,0.33333333333333337,exploit_reward
6,75,run01,CD,C,1,punish,mismatched,1.608386,,,0.5,0.5,,,exploit_reward
7,75,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
8,75,run01,EF,F,2,punish,matched,1.588589,,,,,0.75,0.25,miss_response
9,75,run01,AB,B,2,punish,matched,1.603707,1.0,0.0,,,,,explore_punish
10,75,run01,AB,A,1,reward,matched,1.602430,1.0,0.0,,,,,exploit_punish
11,75,run01,EF,F,2,reward,mismatched,1.582639,,,,,0.6,0.4,explore_punish
12,75,run01,EF,F,2,punish,matched,1.599193,,,,,0.6666666666666666,0.33333333333333337,exploit_reward
13,75,run01,EF,E,1,reward,matched,1.595700,,,,,0.7142857142857143,0.2857142857142857,exploit_punish
14,75,run01,AB,A,2,reward,matched,1.595208,1.0,0.0,,,,,exploit_reward
15,75,run01,AB,A,2,reward,matched,1.593853,1.0,0.0,,,,,exploit_reward
16,75,run01,EF,F,2,punish,matched,1.608444,,,,,0.75,0.25,explore_reward
17,75,run01,CD,C,2,punish,mismatched,1.606453,,,0.3333333333333333,0.6666666666666667,,,explore_punish
18,75,run01,CD,C,2,reward,matched,1.604659,,,0.5,0.5,,,explore_punish
19,75,run01,EF,E,2,reward,matched,1.603413,,,,,0.7777777777777778,0.2222222222222222,exploit_punish
20,75,run01,EF,E,1,reward,matched,1.585176,,,,,0.8,0.19999999999999996,exploit_reward
21,75,run01,CD,D,1,punish,matched,1.600466,,,0.6,0.4,,,explore_reward
22,75,run01,CD,D,1,punish,matched,1.615324,,,0.6666666666666666,0.33333333333333337,,,explore_punish
23,75,run01,CD,D,2,punish,matched,1.596992,,,0.7142857142857143,0.2857142857142857,,,explore_punish
24,75,run01,AB,A,1,reward,matched,1.595600,1.0,0.0,,,,,exploit_reward
25,75,run01,AB,B,1,punish,matched,1.592495,1.0,0.0,,,,,explore_reward
26,75,run02,AB,B,2,reward,mismatched,1.567637,0.8888888888888888,0.11111111111111116,,,,,explore_punish
27,75,run02,AB,B,1,punish,matched,1.582079,0.9,0.09999999999999998,,,,,exploit_reward
28,75,run02,EF,E,2,reward,matched,1.598057,,,,,0.8181818181818182,0.18181818181818177,exploit_reward
29,75,run02,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
30,75,run02,EF,F,2,punish,matched,1.611582,,,,,0.8333333333333334,0.16666666666666663,miss_response
31,75,run02,AB,B,1,punish,matched,1.608853,0.9090909090909091,0.09090909090909094,,,,,explore_punish
32,75,run02,AB,A,1,reward,matched,1.606839,0.9166666666666666,0.08333333333333337,,,,,exploit_punish
33,75,run02,EF,F,1,punish,matched,1.588566,,,,,0.8461538461538461,0.15384615384615385,explore_punish
34,75,run02,AB,B,1,punish,matched,1.603243,0.9230769230769231,0.07692307692307687,,,,,explore_reward
35,75,run02,EF,F,1,reward,mismatched,1.603017,,,,,0.7857142857142857,0.2142857142857143,explore_punish
36,75,run02,EF,E,1,punish,mismatched,1.599867,,,,,0.7333333333333333,0.2666666666666667,explore_reward
37,75,run02,CD,D,2,punish,matched,1.599218,,,0.75,0.25,,,explore_punish
38,75,run02,EF,F,1,punish,matched,1.596714,,,,,0.75,0.25,exploit_punish
39,75,run02,AB,A,1,reward,matched,1.594929,0.9285714285714286,0.0714285714285714,,,,,exploit_punish
40,75,run02,AB,A,2,reward,matched,1.594759,0.9333333333333333,0.06666666666666665,,,,,exploit_reward
41,75,run02,EF,F,1,punish,matched,1.608841,,,,,0.7647058823529411,0.23529411764705888,explore_punish
42,75,run02,EF,F,1,punish,matched,1.591560,,,,,0.7777777777777778,0.2222222222222222,explore_punish
43,75,run02,EF,F,1,reward,mismatched,1.589243,,,,,0.7368421052631579,0.26315789473684215,explore_punish
44,75,run02,AB,B,1,punish,matched,1.603897,0.9375,0.0625,,,,,explore_reward
45,75,run02,EF,F,2,punish,matched,1.601108,,,,,0.75,0.25,exploit_reward
46,75,run02,EF,F,1,punish,matched,1.582851,,,,,0.7619047619047619,0.23809523809523814,explore_punish
47,75,run02,CD,C,2,reward,matched,1.597977,,,0.7777777777777778,0.2222222222222222,,,exploit_punish
48,75,run02,EF,F,1,punish,matched,1.596138,,,,,0.7727272727272727,0.2272727272727273,explore_punish
49,75,run02,AB,B,2,punish,matched,1.594117,0.9411764705882353,0.05882352941176472,,,,,explore_punish
50,75,run02,EF,E,2,punish,mismatched,1.592195,,,,,0.7391304347826086,0.26086956521739135,exploit_punish
51,75,run02,CD,D,2,punish,matched,1.590413,,,0.8,0.19999999999999996,,,explore_reward
52,75,run03,AB,A,1,punish,mismatched,1.567864,0.8888888888888888,0.11111111111111116,,,,,exploit_punish
53,75,run03,EF,F,2,reward,mismatched,1.585124,,,,,0.7083333333333334,0.29166666666666663,exploit_punish
54,75,run03,EF,F,1,reward,mismatched,1.597383,,,,,0.68,0.31999999999999995,exploit_reward
55,75,run03,EF,F,2,punish,matched,1.596165,,,,,0.6923076923076923,0.3076923076923077,exploit_reward
56,75,run03,EF,E,1,reward,matched,1.595575,,,,,0.7037037037037037,0.2962962962962963,exploit_punish
57,75,run03,EF,F,2,punish,matched,1.594765,,,,,0.7142857142857143,0.2857142857142857,explore_reward
58,75,run03,CD,D,2,reward,mismatched,1.591099,,,0.7272727272727273,0.2727272727272727,,,explore_punish
59,75,run03,CD,C,1,punish,mismatched,1.590851,,,0.6666666666666666,0.33333333333333337,,,explore_reward
60,75,run03,CD,D,1,punish,matched,1.589183,,,0.6923076923076923,0.3076923076923077,,,exploit_punish
61,75,run03,AB,A,2,punish,mismatched,1.603691,0.8421052631578947,0.1578947368421053,,,,,explore_punish
62,75,run03,CD,C,1,reward,matched,1.584110,,,0.7142857142857143,0.2857142857142857,,,exploit_punish
63,75,run03,AB,B,2,punish,matched,1.600277,0.85,0.15000000000000002,,,,,exploit_punish
64,75,run03,AB,A,1,reward,matched,1.613894,0.8571428571428571,0.1428571428571429,,,,,exploit_punish
65,75,run03,CD,D,2,punish,matched,1.613264,,,0.7333333333333333,0.2666666666666667,,,explore_reward
66,75,run03,CD,C,1,punish,mismatched,1.579554,,,0.6875,0.3125,,,exploit_punish
67,75,run03,EF,F,2,punish,matched,1.592308,,,,,0.7241379310344828,0.27586206896551724,explore_punish
68,75,run03,EF,E,1,reward,matched,1.591856,,,,,0.7333333333333333,0.2666666666666667,exploit_punish
69,75,run03,CD,C,2,reward,matched,1.588586,,,0.7058823529411765,0.2941176470588235,,,explore_punish
70,75,run03,EF,F,1,reward,mismatched,1.587724,,,,,0.7096774193548387,0.29032258064516125,explore_reward
71,75,run03,AB,B,1,punish,matched,1.601698,0.8636363636363636,0.13636363636363635,,,,,explore_reward
72,75,run03,CD,C,2,reward,matched,1.601680,,,0.7222222222222222,0.2777777777777778,,,exploit_reward
73,75,run03,CD,D,2,punish,matched,1.599481,,,0.7368421052631579,0.26315789473684215,,,explore_reward
74,75,run03,AB,B,1,punish,matched,1.596756,0.8695652173913043,0.13043478260869568,,,,,explore_punish
