,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,49,run01,AB,B,1,punish,matched,1.552290,1.0,0.0,,,,,
1,49,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,
2,49,run01,CD,C,2,reward,matched,1.582779,,,1.0,0.0,,,
3,49,run01,EF,E,2,punish,mismatched,1.598638,,,,,0.0,1.0,miss_response
4,49,run01,CD,D,1,punish,matched,1.614093,,,1.0,0.0,,,explore_reward
5,49,run01,EF,E,1,punish,mismatched,1.597175,,,,,0.0,1.0,explore_punish
6,49,run01,AB,B,1,punish,matched,1.612859,1.0,0.0,,,,,explore_punish
7,49,run01,EF,E,1,reward,matched,1.593721,,,,,0.3333333333333333,0.6666666666666667,explore_punish
8,49,run01,EF,E,1,reward,matched,1.610881,,,,,0.5,0.5,exploit_reward
9,49,run01,CD,C,1,reward,matched,1.608502,,,1.0,0.0,,,exploit_punish
10,49,run01,AB,A,2,punish,mismatched,1.592335,0.6666666666666666,0.33333333333333337,,,,,exploit_punish
11,49,run01,CD,D,1,punish,matched,1.607163,,,1.0,0.0,,,explore_reward
12,49,run01,AB,B,2,punish,matched,1.607922,0.75,0.25,,,,,exploit_punish
13,49,run01,AB,B,1,punish,matched,1.588180,0.8,0.19999999999999996,,,,,explore_punish
14,49,run01,EF,E,1,punish,mismatched,1.604627,,,,,0.4,0.6,exploit_reward
15,49,run01,AB,A,1,reward,matched,1.602770,0.8333333333333334,0.16666666666666663,,,,,exploit_punish
16,49,run01,CD,C,1,reward,matched,1.602793,,,1.0,0.0,,,exploit_punish
17,49,run01,AB,B,1,reward,mismatched,1.618354,0.7142857142857143,0.2857142857142857,,,,,explore_reward
18,49,run01,EF,E,1,reward,matched,1.618533,,,,,0.5,0.5,explore_punish
19,49,run01,AB,A,1,reward,matched,1.616195,0.75,0.25,,,,,explore_reward
20,49,run01,AB,A,1,reward,matched,1.597829,0.7777777777777778,0.2222222222222222,,,,,exploit_reward
21,49,run01,CD,D,2,punish,matched,1.597687,,,1.0,0.0,,,explore_reward
22,49,run01,AB,B,1,punish,matched,1.596701,0.8,0.19999999999999996,,,,,explore_reward
23,49,run01,CD,C,1,punish,mismatched,1.612927,,,0.8571428571428571,0.1428571428571429,,,exploit_punish
24,49,run01,EF,E,2,punish,mismatched,1.611451,,,,,0.42857142857142855,0.5714285714285714,exploit_reward
25,49,run01,CD,C,2,punish,mismatched,1.593781,,,0.75,0.25,,,explore_punish
26,49,run02,EF,E,1,reward,matched,1.568819,,,,,0.5,0.5,explore_punish
27,49,run02,CD,D,1,punish,matched,1.584179,,,0.7777777777777778,0.2222222222222222,,,exploit_punish
28,49,run02,CD,C,1,punish,mismatched,1.583821,,,0.7,0.30000000000000004,,,exploit_punish
29,49,run02,AB,A,1,reward,matched,1.582499,0.8181818181818182,0.18181818181818177,,,,,exploit_punish
30,49,run02,AB,A,2,reward,matched,1.581068,0.8333333333333334,0.16666666666666663,,,,,exploit_reward
31,49,run02,EF,F,2,punish,matched,1.596619,,,,,0.5555555555555556,0.4444444444444444,explore_reward
32,49,run02,AB,A,1,reward,matched,1.594781,0.8461538461538461,0.15384615384615385,,,,,exploit_reward
33,49,run02,CD,D,2,punish,matched,1.578437,,,0.7272727272727273,0.2727272727272727,,,exploit_punish
34,49,run02,EF,F,1,reward,mismatched,1.593739,,,,,0.5,0.5,explore_punish
35,49,run02,CD,D,1,punish,matched,1.593191,,,0.75,0.25,,,explore_punish
36,49,run02,AB,A,2,reward,matched,1.590410,0.8571428571428571,0.1428571428571429,,,,,exploit_reward
37,49,run02,AB,B,2,punish,matched,1.607167,0.8666666666666667,0.1333333333333333,,,,,explore_reward
38,49,run02,AB,B,1,punish,matched,1.589627,0.875,0.125,,,,,explore_punish
39,49,run02,AB,A,2,reward,matched,1.604151,0.8823529411764706,0.11764705882352944,,,,,exploit_punish
40,49,run02,CD,D,1,reward,mismatched,1.604316,,,0.6923076923076923,0.3076923076923077,,,explore_punish
