,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,84,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,
1,84,run01,CD,D,2,punish,matched,1.584677,,,1.0,0.0,,,
2,84,run01,CD,C,2,reward,matched,1.599488,,,1.0,0.0,,,exploit_punish
3,84,run01,EF,F,1,punish,matched,1.613795,,,,,1.0,0.0,miss_response
4,84,run01,AB,B,2,punish,matched,1.594262,1.0,0.0,,,,,
5,84,run01,CD,D,1,punish,matched,1.593570,,,1.0,0.0,,,explore_reward
6,84,run01,CD,D,1,punish,matched,1.608675,,,1.0,0.0,,,explore_punish
7,84,run01,AB,A,1,punish,mismatched,1.605939,0.5,0.5,,,,,exploit_punish
8,84,run01,EF,F,2,reward,mismatched,1.621992,,,,,0.5,0.5,explore_punish
9,84,run01,EF,E,1,reward,matched,1.586992,,,,,0.6666666666666666,0.33333333333333337,explore_reward
10,84,run01,CD,D,1,punish,matched,1.602306,,,1.0,0.0,,,explore_punish
11,84,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
12,84,run01,AB,B,1,punish,matched,1.599119,0.6666666666666666,0.33333333333333337,,,,,exploit_punish
13,84,run01,CD,C,2,reward,matched,1.596209,,,1.0,0.0,,,exploit_punish
14,84,run01,AB,B,1,punish,matched,1.595755,0.75,0.25,,,,,explore_punish
15,84,run01,EF,E,2,punish,mismatched,1.593874,,,,,0.5,0.5,miss_response
16,84,run01,CD,C,2,reward,matched,1.592068,,,1.0,0.0,,,exploit_reward
17,84,run01,EF,E,2,punish,mismatched,1.606865,,,,,0.4,0.6,explore_punish
18,84,run01,EF,E,1,reward,matched,1.587341,,,,,0.5,0.5,explore_punish
19,84,run01,AB,A,2,reward,matched,1.586662,0.8,0.19999999999999996,,,,,exploit_punish
20,84,run01,EF,E,2,reward,matched,1.584847,,,,,0.5714285714285714,0.4285714285714286,exploit_reward
21,84,run01,CD,C,2,punish,mismatched,1.600642,,,0.875,0.125,,,exploit_reward
22,84,run01,EF,E,1,punish,mismatched,1.599317,,,,,0.5,0.5,exploit_reward
23,84,run01,EF,E,1,punish,mismatched,1.597081,,,,,0.4444444444444444,0.5555555555555556,explore_punish
24,84,run01,EF,E,2,reward,matched,1.595252,,,,,0.5,0.5,explore_punish
25,84,run01,CD,C,1,punish,mismatched,1.608955,,,0.7777777777777778,0.2222222222222222,,,explore_punish
26,84,run02,CD,C,2,reward,matched,1.567710,,,0.8,0.19999999999999996,,,explore_punish
27,84,run02,EF,E,1,punish,mismatched,1.566193,,,,,0.45454545454545453,0.5454545454545454,exploit_reward
28,84,run02,CD,D,1,punish,matched,1.582976,,,0.8181818181818182,0.18181818181818177,,,explore_reward
29,84,run02,CD,C,1,reward,matched,1.563503,,,0.8333333333333334,0.16666666666666663,,,exploit_punish
30,84,run02,EF,E,1,punish,mismatched,1.594808,,,,,0.4166666666666667,0.5833333333333333,explore_punish
31,84,run02,AB,A,2,reward,matched,1.592964,0.8333333333333334,0.16666666666666663,,,,,exploit_reward
32,84,run02,AB,B,1,reward,mismatched,1.590109,0.7142857142857143,0.2857142857142857,,,,,explore_reward
33,84,run02,AB,B,1,punish,matched,1.588513,0.75,0.25,,,,,exploit_reward
34,84,run02,AB,B,2,punish,matched,1.586557,0.7777777777777778,0.2222222222222222,,,,,explore_punish
35,84,run02,EF,F,1,punish,matched,1.586013,,,,,0.46153846153846156,0.5384615384615384,exploit_punish
36,84,run02,EF,F,1,punish,matched,1.584145,,,,,0.5,0.5,explore_punish
37,84,run02,AB,B,2,punish,matched,1.599425,0.8,0.19999999999999996,,,,,explore_punish
38,84,run02,EF,E,1,reward,matched,1.597646,,,,,0.5333333333333333,0.4666666666666667,exploit_punish
39,84,run02,EF,E,2,punish,mismatched,1.578082,,,,,0.5,0.5,exploit_reward
40,84,run02,EF,E,2,punish,mismatched,1.577319,,,,,0.47058823529411764,0.5294117647058824,explore_punish
41,84,run02,EF,E,2,reward,matched,1.575632,,,,,0.5,0.5,explore_punish
42,84,run02,EF,E,2,punish,mismatched,1.607258,,,,,0.47368421052631576,0.5263157894736843,exploit_reward
43,84,run02,EF,F,1,punish,matched,1.588098,,,,,0.5,0.5,exploit_punish
44,84,run02,AB,A,1,reward,matched,1.587324,0.8181818181818182,0.18181818181818177,,,,,exploit_punish
45,84,run02,AB,B,2,punish,matched,1.584555,0.8333333333333334,0.16666666666666663,,,,,explore_reward
46,84,run02,AB,B,1,punish,matched,1.583334,0.8461538461538461,0.15384615384615385,,,,,explore_punish
47,84,run02,AB,A,2,reward,matched,1.598037,0.8571428571428571,0.1428571428571429,,,,,exploit_punish
48,84,run02,CD,C,2,reward,matched,1.597045,,,0.8461538461538461,0.15384615384615385,,,exploit_reward
49,84,run02,EF,F,2,punish,matched,1.611186,,,,,0.5238095238095238,0.47619047619047616,explore_punish
50,84,run02,EF,E,2,punish,mismatched,1.593401,,,,,0.5,0.5,exploit_punish
51,84,run02,AB,A,2,reward,matched,1.574049,0.8666666666666667,0.1333333333333333,,,,,exploit_reward
52,84,run03,CD,D,2,punish,matched,1.568078,,,0.8571428571428571,0.1428571428571429,,,explore_reward
53,84,run03,CD,C,2,punish,mismatched,1.568351,,,0.8,0.19999999999999996,,,exploit_punish
54,84,run03,CD,D,2,punish,matched,1.565202,,,0.8125,0.1875,,,exploit_punish
55,84,run03,EF,F,2,punish,matched,1.596217,,,,,0.5217391304347826,0.4782608695652174,exploit_punish
56,84,run03,EF,E,2,reward,matched,1.579281,,,,,0.5416666666666666,0.45833333333333337,exploit_punish
