,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,55,run01,EF,F,1,reward,mismatched,1.584769,,,,,0.0,1.0,
1,55,run01,EF,E,1,punish,mismatched,1.618127,,,,,0.0,1.0,explore_reward
2,55,run01,EF,E,1,punish,mismatched,-0.071372,,,,,0.0,1.0,explore_punish
3,55,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
4,55,run01,CD,Miss,Miss,Miss,Miss,Miss,,,,,,,
5,55,run01,AB,B,1,reward,mismatched,1.594520,0.0,1.0,,,,,
6,55,run01,AB,A,2,reward,matched,1.592060,0.5,0.5,,,,,explore_reward
7,55,run01,EF,F,1,punish,matched,1.605634,,,,,0.25,0.75,miss_response
8,55,run01,EF,E,2,reward,matched,1.606424,,,,,0.4,0.6,exploit_punish
9,55,run01,AB,B,1,punish,matched,1.586263,0.6666666666666666,0.33333333333333337,,,,,explore_reward
10,55,run01,CD,D,2,punish,matched,1.602628,,,1.0,0.0,,,miss_response
11,55,run01,AB,A,2,reward,matched,1.582911,0.75,0.25,,,,,exploit_punish
12,55,run01,EF,E,1,reward,matched,1.599451,,,,,0.5,0.5,exploit_reward
13,55,run01,AB,A,2,reward,matched,1.596009,0.8,0.19999999999999996,,,,,exploit_reward
14,55,run01,EF,F,1,punish,matched,1.596205,,,,,0.5714285714285714,0.4285714285714286,explore_reward
15,55,run01,EF,F,2,punish,matched,1.592682,,,,,0.625,0.375,explore_punish
16,55,run01,CD,C,1,punish,mismatched,1.592300,,,0.5,0.5,,,exploit_punish
17,55,run01,AB,B,2,reward,mismatched,1.606620,0.6666666666666666,0.33333333333333337,,,,,explore_reward
18,55,run01,CD,D,2,reward,mismatched,1.587639,,,0.3333333333333333,0.6666666666666667,,,exploit_punish
19,55,run01,EF,E,1,reward,matched,1.587600,,,,,0.6666666666666666,0.33333333333333337,exploit_punish
20,55,run01,AB,A,2,punish,mismatched,1.584176,0.5714285714285714,0.4285714285714286,,,,,explore_reward
21,55,run01,EF,E,2,reward,matched,1.583927,,,,,0.7,0.30000000000000004,exploit_reward
22,55,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
23,55,run01,AB,B,2,punish,matched,1.597633,0.625,0.375,,,,,exploit_punish
24,55,run01,AB,B,1,punish,matched,1.577348,0.6666666666666666,0.33333333333333337,,,,,explore_punish
25,55,run01,AB,B,2,punish,matched,1.592823,0.7,0.30000000000000004,,,,,explore_punish
26,55,run02,CD,C,1,reward,matched,1.568324,,,0.5,0.5,,,explore_reward
27,55,run02,AB,B,2,reward,mismatched,1.599131,0.6363636363636364,0.36363636363636365,,,,,explore_punish
28,55,run02,AB,A,2,reward,matched,1.599018,0.6666666666666666,0.33333333333333337,,,,,explore_reward
29,55,run02,EF,E,1,punish,mismatched,1.580269,,,,,0.6363636363636364,0.36363636363636365,miss_response
30,55,run02,EF,F,1,punish,matched,1.595587,,,,,0.6666666666666666,0.33333333333333337,exploit_punish
31,55,run02,EF,E,2,punish,mismatched,1.609178,,,,,0.6153846153846154,0.3846153846153846,exploit_punish
32,55,run02,CD,C,1,reward,matched,1.606874,,,0.6,0.4,,,exploit_reward
33,55,run02,AB,B,2,punish,matched,1.589021,0.6923076923076923,0.3076923076923077,,,,,explore_reward
34,55,run02,EF,F,1,reward,mismatched,1.587176,,,,,0.5714285714285714,0.4285714285714286,exploit_punish
35,55,run02,EF,F,2,punish,matched,1.586067,,,,,0.6,0.4,exploit_reward
36,55,run02,EF,E,1,reward,matched,1.583758,,,,,0.625,0.375,exploit_punish
37,55,run02,CD,D,1,reward,mismatched,1.616355,,,0.5,0.5,,,explore_reward
38,55,run02,EF,E,1,punish,mismatched,1.613680,,,,,0.5882352941176471,0.4117647058823529,exploit_reward
39,55,run02,AB,B,2,punish,matched,1.595521,0.7142857142857143,0.2857142857142857,,,,,explore_punish
40,55,run02,EF,E,1,punish,mismatched,1.611210,,,,,0.5555555555555556,0.4444444444444444,explore_punish
41,55,run02,CD,D,1,punish,matched,1.592600,,,0.5714285714285714,0.4285714285714286,,,exploit_reward
42,55,run02,AB,A,2,reward,matched,1.591088,0.7333333333333333,0.2666666666666667,,,,,exploit_punish
43,55,run02,CD,C,2,reward,matched,1.605924,,,0.625,0.375,,,exploit_punish
44,55,run02,CD,C,1,punish,mismatched,1.604555,,,0.5555555555555556,0.4444444444444444,,,exploit_reward
45,55,run02,EF,E,2,reward,matched,1.601722,,,,,0.5789473684210527,0.42105263157894735,explore_punish
46,55,run02,AB,B,2,reward,mismatched,1.600051,0.6875,0.3125,,,,,explore_reward
47,55,run02,CD,D,1,punish,matched,1.598629,,,0.6,0.4,,,exploit_punish
48,55,run02,AB,A,2,reward,matched,1.596740,0.7058823529411765,0.2941176470588235,,,,,explore_reward
49,55,run02,AB,A,1,reward,matched,1.595069,0.7222222222222222,0.2777777777777778,,,,,exploit_reward
50,55,run02,AB,B,2,punish,matched,1.592941,0.7368421052631579,0.26315789473684215,,,,,explore_reward
51,55,run02,EF,E,2,reward,matched,1.574328,,,,,0.6,0.4,exploit_reward
52,55,run03,CD,C,1,punish,mismatched,1.568247,,,0.5454545454545454,0.4545454545454546,,,exploit_punish
53,55,run03,EF,F,1,punish,matched,1.568400,,,,,0.6190476190476191,0.38095238095238093,explore_reward
