,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,9,run01,AB,B,1,punish,matched,1.576953,1.0,0.0,,,,,
1,9,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,
2,9,run01,AB,B,1,punish,matched,1.571685,1.0,0.0,,,,,explore_punish
3,9,run01,AB,A,2,reward,matched,1.591632,1.0,0.0,,,,,exploit_punish
4,9,run01,CD,C,2,reward,matched,1.585818,,,1.0,0.0,,,
5,9,run01,EF,E,2,reward,matched,1.592477,,,,,1.0,0.0,miss_response
6,9,run01,CD,C,1,reward,matched,1.598699,,,1.0,0.0,,,exploit_reward
7,9,run01,EF,F,2,reward,mismatched,1.602176,,,,,0.5,0.5,explore_reward
8,9,run01,CD,D,2,reward,mismatched,1.579971,,,0.6666666666666666,0.33333333333333337,,,explore_reward
9,9,run01,CD,C,1,punish,mismatched,1.581856,,,0.5,0.5,,,explore_reward
10,9,run01,AB,B,2,punish,matched,1.600133,1.0,0.0,,,,,explore_reward
11,9,run01,EF,F,1,punish,matched,1.597689,,,,,0.6666666666666666,0.33333333333333337,exploit_reward
12,9,run01,AB,B,2,punish,matched,1.580984,1.0,0.0,,,,,explore_punish
13,9,run01,AB,A,2,punish,mismatched,1.579347,0.8333333333333334,0.16666666666666663,,,,,exploit_punish
14,9,run01,CD,C,2,punish,mismatched,1.595485,,,0.4,0.6,,,explore_punish
15,9,run01,EF,F,2,punish,matched,1.593393,,,,,0.75,0.25,explore_punish
16,9,run01,AB,A,1,punish,mismatched,1.589197,0.7142857142857143,0.2857142857142857,,,,,explore_punish
17,9,run01,EF,F,1,punish,matched,1.555689,,,,,0.8,0.19999999999999996,explore_punish
18,9,run01,EF,E,1,reward,matched,1.572139,,,,,0.8333333333333334,0.16666666666666663,exploit_punish
19,9,run01,CD,C,2,reward,matched,1.596276,,,0.5,0.5,,,explore_punish
20,9,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
21,9,run01,EF,F,1,punish,matched,1.584088,,,,,0.8571428571428571,0.1428571428571429,miss_response
22,9,run01,AB,B,1,punish,matched,1.591025,0.75,0.25,,,,,exploit_punish
23,9,run01,EF,F,2,reward,mismatched,1.565303,,,,,0.75,0.25,explore_punish
24,9,run01,EF,F,1,punish,matched,1.600842,,,,,0.7777777777777778,0.2222222222222222,exploit_reward
25,9,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,exploit_punish
26,9,run02,AB,B,2,punish,matched,1.571475,0.7777777777777778,0.2222222222222222,,,,,explore_punish
27,9,run02,AB,A,1,reward,matched,1.587637,0.8,0.19999999999999996,,,,,exploit_punish
28,9,run02,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
29,9,run02,AB,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
30,9,run02,AB,A,1,reward,matched,1.582175,0.8181818181818182,0.18181818181818177,,,,,miss_response
31,9,run02,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
32,9,run02,EF,F,2,reward,mismatched,1.577788,,,,,0.7,0.30000000000000004,miss_response
33,9,run02,AB,A,2,reward,matched,1.585211,0.8333333333333334,0.16666666666666663,,,,,exploit_reward
34,9,run02,CD,C,2,reward,matched,1.585776,,,0.5714285714285714,0.4285714285714286,,,exploit_reward
35,9,run02,AB,B,1,reward,mismatched,1.581466,0.7692307692307693,0.23076923076923073,,,,,explore_reward
36,9,run02,AB,B,2,punish,matched,1.578526,0.7857142857142857,0.2142857142857143,,,,,exploit_reward
37,9,run02,EF,F,1,punish,matched,1.590412,,,,,0.7272727272727273,0.2727272727272727,exploit_reward
38,9,run02,CD,D,1,reward,mismatched,1.592249,,,0.5,0.5,,,explore_reward
39,9,run02,AB,B,1,reward,mismatched,1.583276,0.7333333333333333,0.2666666666666667,,,,,explore_punish
40,9,run02,EF,F,2,punish,matched,1.578431,,,,,0.75,0.25,explore_punish
41,9,run02,AB,B,1,punish,matched,1.578372,0.75,0.25,,,,,exploit_reward
42,9,run02,CD,D,2,punish,matched,1.586898,,,0.5555555555555556,0.4444444444444444,,,exploit_reward
43,9,run02,EF,E,2,punish,mismatched,1.603207,,,,,0.6923076923076923,0.3076923076923077,exploit_punish
44,9,run02,CD,C,1,reward,matched,1.584914,,,0.6,0.4,,,exploit_punish
45,9,run02,AB,B,2,reward,mismatched,1.583156,0.7058823529411765,0.2941176470588235,,,,,explore_punish
46,9,run02,AB,A,1,reward,matched,1.587658,0.7222222222222222,0.2777777777777778,,,,,explore_reward
47,9,run02,AB,B,1,punish,matched,1.581223,0.7368421052631579,0.26315789473684215,,,,,explore_reward
48,9,run02,AB,B,2,reward,mismatched,1.578196,0.7,0.30000000000000004,,,,,explore_punish
49,9,run02,AB,B,2,punish,matched,1.578735,0.7142857142857143,0.2857142857142857,,,,,exploit_reward
