,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,31,run02,75.1904,5.0,AB,A,2,punish,mismatched,1.584589,
1,31,run02,91.1911,5.0,CD,D,1,punish,matched,1.584126,
2,31,run02,106.1755,5.0,CD,C,1,reward,matched,1.616594,exploit_punish
3,31,run02,120.1765,5.0,EF,E,2,reward,matched,1.599050,
4,31,run02,134.177,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
5,31,run02,149.178,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
6,31,run02,165.1795,5.0,CD,D,2,punish,matched,1.594459,miss_response
7,31,run02,179.1637,5.0,EF,F,1,punish,matched,1.594888,miss_response
8,31,run02,195.165,5.0,CD,D,2,punish,matched,1.609049,explore_punish
9,31,run02,210.1826,5.0,AB,A,1,punish,mismatched,1.609181,explore_punish
10,31,run02,225.1836,5.0,AB,B,2,punish,matched,1.591448,exploit_punish
11,31,run02,240.1847,5.0,EF,E,2,reward,matched,1.607277,exploit_punish
12,31,run02,253.1855,5.0,AB,B,1,punish,matched,1.590021,explore_punish
13,31,run02,267.1698,5.0,AB,B,2,punish,matched,1.589147,explore_punish
14,31,run02,282.171,5.0,AB,B,2,punish,matched,1.588198,explore_punish
15,31,run02,298.1721,5.0,EF,F,1,reward,mismatched,1.602955,explore_reward
16,31,run02,312.1896,5.0,AB,A,1,punish,mismatched,1.619380,exploit_punish
17,31,run02,325.1906,5.0,AB,B,2,punish,matched,1.601212,exploit_punish
18,31,run02,340.1745,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
19,31,run02,355.176,5.0,CD,C,2,reward,matched,1.598005,miss_response
20,31,run02,369.1935,5.0,EF,F,2,reward,mismatched,1.613835,exploit_reward
21,31,run02,383.1779,5.0,EF,E,1,punish,mismatched,1.579624,explore_reward
22,31,run02,399.1785,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
23,31,run02,415.1803,5.0,CD,C,2,reward,matched,1.593950,exploit_reward
24,31,run02,431.1813,5.0,EF,E,2,reward,matched,1.592887,miss_response
25,31,run02,447.1824,5.0,CD,C,2,reward,matched,1.591696,exploit_reward
