,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,58,run03,50.591,5,CD,D,1,punish,matched,1.568274,
1,58,run03,65.5925,5,CD,C,2,reward,matched,1.599859,exploit_punish
2,58,run03,78.5939,5,EF,F,1,punish,matched,1.581177,
3,58,run03,92.5955,5,EF,F,1,punish,matched,1.579843,explore_punish
4,58,run03,105.597,5,AB,B,1,reward,mismatched,1.595742,
5,58,run03,119.5988,5,EF,E,2,punish,mismatched,1.577868,exploit_punish
6,58,run03,132.6001,5,CD,C,1,reward,matched,1.60809,exploit_reward
7,58,run03,146.5852,5,CD,D,1,reward,mismatched,1.591767,explore_reward
8,58,run03,161.604,5,EF,E,1,punish,mismatched,1.589869,explore_punish
9,58,run03,175.5886,5,CD,C,1,reward,matched,1.587641,explore_reward
10,58,run03,192.6073,5,AB,A,2,reward,matched,1.584496,explore_reward
11,58,run03,209.5926,5,CD,C,1,reward,matched,1.5837809999999999,exploit_reward
12,58,run03,224.5943,5,AB,B,2,reward,mismatched,1.5643639999999999,explore_reward
13,58,run03,237.5959,5,CD,C,1,reward,matched,1.580522,exploit_reward
14,58,run03,251.5975,5,AB,A,1,punish,mismatched,1.595284,explore_reward
15,58,run03,266.5997,5,CD,C,2,reward,matched,1.575723,exploit_reward
16,58,run03,281.5843,5,EF,E,2,reward,matched,1.575156,explore_punish
17,58,run03,298.6029,5,AB,B,2,punish,matched,1.588765,exploit_punish
18,58,run03,313.6052,5,CD,C,2,punish,mismatched,1.604953,exploit_reward
19,58,run03,328.5898,5,AB,A,1,punish,mismatched,1.584999,exploit_punish
20,58,run03,341.5914,5,EF,F,1,punish,matched,1.5852959999999998,explore_reward
21,58,run03,355.593,5,EF,E,2,reward,matched,1.583218,exploit_punish
22,58,run03,370.5952,5,EF,F,2,punish,matched,1.597456,explore_reward
23,58,run03,386.5967,5,EF,E,1,reward,matched,1.578336,exploit_punish
24,58,run03,400.5983,5,EF,F,2,punish,matched,1.577369,explore_reward
25,58,run03,416.6005,5,AB,A,2,reward,matched,1.5928200000000001,explore_punish
