,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,72,run01,118.23,,CD,Miss,Miss,Miss,Miss,Miss,
1,72,run01,133.2317,5.0,CD,C,1,reward,matched,1.600215,miss_response
2,72,run01,149.2336,5.0,AB,A,2,punish,mismatched,1.581988,
3,72,run01,163.2352,5.0,AB,B,1,punish,matched,1.596771,exploit_punish
4,72,run01,176.2367,5.0,CD,C,2,reward,matched,1.610827,exploit_reward
5,72,run01,191.239,5.0,AB,B,2,punish,matched,1.594047,explore_punish
6,72,run01,205.2401,5.0,CD,D,1,punish,matched,1.608020,explore_reward
7,72,run01,218.2416,5.0,AB,A,1,reward,matched,1.606035,exploit_punish
8,72,run01,233.2439,5.0,AB,B,1,punish,matched,1.589000,explore_reward
9,72,run01,246.2282,5.0,AB,B,2,reward,mismatched,1.602322,explore_punish
10,72,run01,259.2465,5.0,EF,E,2,reward,matched,1.585913,
11,72,run01,274.232,5.0,EF,E,2,reward,matched,1.616047,exploit_reward
12,72,run01,287.233,5.0,AB,B,1,punish,matched,1.615404,exploit_reward
13,72,run01,302.2348,5.0,AB,A,1,reward,matched,1.596289,exploit_punish
14,72,run01,315.2363,5.0,AB,B,1,punish,matched,1.595602,explore_reward
15,72,run01,330.2385,5.0,CD,D,2,punish,matched,1.576260,explore_punish
16,72,run01,345.2398,5.0,EF,E,2,punish,mismatched,1.575102,exploit_reward
17,72,run01,361.2251,5.0,CD,C,2,punish,mismatched,1.590263,exploit_punish
18,72,run01,376.2272,5.0,EF,E,1,reward,matched,1.588467,explore_punish
19,72,run01,391.2287,5.0,AB,B,1,reward,mismatched,1.603263,explore_punish
20,72,run01,404.2301,5.0,AB,B,2,punish,matched,1.600879,exploit_reward
21,72,run01,417.2316,5.0,CD,D,2,punish,matched,1.583728,exploit_punish
22,72,run01,431.2333,5.0,AB,A,1,reward,matched,1.599001,exploit_punish
23,72,run01,445.235,5.0,AB,B,1,punish,matched,1.597211,explore_reward
24,72,run01,460.237,5.0,EF,F,2,punish,matched,1.594295,explore_reward
25,72,run01,474.2383,5.0,AB,A,1,punish,mismatched,1.608959,exploit_punish
