,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,14,run03,54.8622,5,EF,E,2,reward,matched,1.57189,
1,14,run03,69.8478,5,CD,C,1,reward,matched,1.60218,
2,14,run03,82.8485,5,CD,C,2,reward,matched,1.593318,exploit_reward
3,14,run03,96.8414,5,AB,A,1,reward,matched,1.58456,
4,14,run03,109.8395,5,AB,A,2,reward,matched,1.585928,exploit_reward
5,14,run03,123.8486,5,EF,F,2,reward,mismatched,1.591793,explore_reward
6,14,run03,136.8466,5,CD,D,2,punish,matched,1.598244,explore_reward
7,14,run03,150.8538,5,AB,B,2,punish,matched,1.586047,explore_reward
8,14,run03,165.844,5,EF,E,1,reward,matched,1.597996,explore_reward
9,14,run03,179.8537,5,EF,E,1,punish,mismatched,1.594783,exploit_reward
10,14,run03,196.8474,5,CD,C,2,punish,mismatched,1.578566,exploit_punish
11,14,run03,213.841,5,EF,F,2,reward,mismatched,1.5917370000000002,exploit_punish
12,14,run03,228.8446,5,EF,F,1,reward,mismatched,1.581372,exploit_reward
13,14,run03,241.8604,5,CD,D,1,reward,mismatched,1.59883,exploit_punish
14,14,run03,255.8533,5,AB,B,2,punish,matched,1.588596,explore_punish
15,14,run03,270.8581,5,CD,C,2,punish,mismatched,1.602099,explore_reward
16,14,run03,285.8447,5,AB,A,2,punish,mismatched,1.597226,exploit_punish
17,14,run03,302.8474,5,AB,A,2,reward,matched,1.587149,explore_punish
18,14,run03,317.8427,5,AB,A,2,reward,matched,1.585123,exploit_reward
19,14,run03,332.8636,5,AB,A,1,reward,matched,1.585769,exploit_reward
20,14,run03,345.8613,5,EF,F,1,punish,matched,1.583518,exploit_reward
21,14,run03,359.8518,5,CD,C,1,punish,mismatched,1.586894,explore_punish
22,14,run03,374.8421,5,AB,B,2,reward,mismatched,1.584655,explore_reward
23,14,run03,390.8414,5,EF,F,2,punish,matched,1.5993979999999999,explore_punish
24,14,run03,404.8502,5,AB,A,2,reward,matched,1.594825,explore_reward
25,14,run03,420.8499,5,EF,E,2,reward,matched,1.578729,exploit_punish
