,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,53,run04,45.037,5.0,AB,B,2,punish,matched,1.586541,
1,53,run04,61.0384,5.0,EF,E,1,reward,matched,1.615509,
2,53,run04,76.0402,5.0,AB,A,1,reward,matched,1.598872,exploit_punish
3,53,run04,91.0424,5.0,AB,B,2,punish,matched,1.612435,explore_reward
4,53,run04,107.0438,5.0,AB,A,1,reward,matched,1.611252,exploit_punish
5,53,run04,121.045,,AB,Miss,Miss,Miss,Miss,Miss,miss_response
6,53,run04,136.0477,5.0,AB,A,1,reward,matched,1.608166,miss_response
7,53,run04,151.0318,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
8,53,run04,167.0343,5.0,AB,A,1,reward,matched,1.603418,exploit_reward
9,53,run04,183.0365,5.0,EF,F,1,punish,matched,1.601801,miss_response
10,53,run04,196.0371,,AB,Miss,Miss,Miss,Miss,Miss,miss_response
11,53,run04,211.0394,5.0,EF,E,1,reward,matched,1.615503,exploit_punish
12,53,run04,227.0418,5.0,EF,F,2,reward,mismatched,1.614504,explore_reward
13,53,run04,241.0429,5.0,AB,A,1,reward,matched,1.595028,miss_response
14,53,run04,255.0441,,CD,Miss,Miss,Miss,Miss,Miss,
15,53,run04,269.0294,5.0,CD,C,1,punish,mismatched,1.591486,miss_response
16,53,run04,282.0477,5.0,EF,E,1,punish,mismatched,1.591634,explore_reward
17,53,run04,297.0333,5.0,CD,D,2,punish,matched,1.589280,exploit_punish
18,53,run04,312.0513,5.0,EF,F,1,reward,mismatched,1.605018,exploit_punish
19,53,run04,326.0361,5.0,AB,B,2,punish,matched,1.602577,explore_reward
20,53,run04,340.0544,5.0,AB,A,1,reward,matched,1.617693,exploit_punish
21,53,run04,356.04,5.0,AB,B,1,reward,mismatched,1.599155,explore_reward
22,53,run04,370.0413,5.0,AB,A,1,reward,matched,1.613797,explore_reward
23,53,run04,385.0429,5.0,CD,D,2,punish,matched,1.611383,explore_punish
24,53,run04,399.0446,5.0,CD,D,1,punish,matched,1.609700,explore_punish
25,53,run04,415.047,5.0,EF,F,1,reward,mismatched,1.607936,exploit_reward
