,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,47,run02,67.7083,5,CD,D,1,reward,mismatched,1.584514,
1,47,run02,83.7098,5,CD,C,1,punish,mismatched,1.598759,explore_reward
2,47,run02,98.6948,5,CD,C,1,reward,matched,1.598527,explore_punish
3,47,run02,112.6964,5,EF,F,2,punish,matched,1.580483,
4,47,run02,126.6981,5,CD,C,2,reward,matched,1.5965120000000002,exploit_reward
5,47,run02,141.7004,5,EF,E,1,reward,matched,1.59261,exploit_punish
6,47,run02,157.7018,5,AB,A,1,reward,matched,1.606967,
7,47,run02,171.6868,5,EF,F,2,punish,matched,1.6055629999999999,explore_reward
8,47,run02,187.6891,5,CD,D,1,punish,matched,1.6037059999999999,explore_reward
9,47,run02,202.6904,5,EF,F,2,reward,mismatched,1.6025989999999999,explore_punish
10,47,run02,217.709,5,EF,F,1,punish,matched,1.600659,exploit_reward
11,47,run02,232.6944,5,CD,D,2,punish,matched,1.616457,explore_punish
12,47,run02,245.6955,5,EF,E,1,reward,matched,1.596573,exploit_punish
13,47,run02,259.6972,5,AB,A,1,reward,matched,1.5952629999999999,exploit_reward
14,47,run02,274.6826,5,EF,F,2,punish,matched,1.594531,explore_reward
15,47,run02,290.7008,5,CD,D,1,punish,matched,1.592614,explore_punish
16,47,run02,304.7024,5,CD,D,2,punish,matched,1.607631,explore_punish
17,47,run02,317.7039,5,EF,E,2,reward,matched,1.5887879999999999,exploit_punish
18,47,run02,332.7061,5,EF,F,1,reward,mismatched,1.60494,explore_reward
19,47,run02,347.6906,5,AB,A,2,reward,matched,1.601442,exploit_reward
20,47,run02,361.6923,5,CD,C,1,punish,mismatched,1.60002,exploit_punish
21,47,run02,375.6939,5,AB,B,1,punish,matched,1.581864,explore_reward
22,47,run02,391.6963,5,CD,D,1,reward,mismatched,1.596623,exploit_punish
23,47,run02,407.6976,5,CD,C,1,reward,matched,1.594314,explore_reward
24,47,run02,423.6996,5,CD,D,1,punish,matched,1.592776,explore_reward
25,47,run02,439.685,5,EF,F,2,punish,matched,1.5909870000000002,exploit_reward
