,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,72,run02,94.5756,5.0,CD,C,1,reward,matched,1.551058,
1,72,run02,110.5772,5.0,EF,F,2,punish,matched,1.565539,
2,72,run02,125.5789,5.0,AB,A,2,punish,mismatched,1.598427,
3,72,run02,139.5805,5.0,CD,C,1,reward,matched,1.613511,exploit_reward
4,72,run02,153.5655,5.0,AB,A,2,reward,matched,1.595094,explore_punish
5,72,run02,168.5843,5.0,AB,A,2,reward,matched,1.592317,exploit_reward
6,72,run02,184.5691,5.0,EF,E,1,punish,mismatched,1.591431,exploit_punish
7,72,run02,198.5874,5.0,AB,A,2,reward,matched,1.605827,exploit_reward
8,72,run02,214.5893,5.0,AB,B,2,punish,matched,1.603637,explore_reward
9,72,run02,229.5743,5.0,AB,B,1,punish,matched,1.586481,explore_punish
10,72,run02,244.5765,5.0,EF,E,2,punish,mismatched,1.584902,explore_punish
11,72,run02,259.5778,5.0,CD,C,1,reward,matched,1.599119,exploit_reward
12,72,run02,272.5793,5.0,CD,C,1,reward,matched,1.597058,exploit_reward
13,72,run02,286.581,5.0,EF,F,2,punish,matched,1.596649,exploit_punish
14,72,run02,301.5826,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
15,72,run02,317.5846,5.0,AB,A,2,reward,matched,1.608999,exploit_punish
16,72,run02,331.5696,5.0,AB,A,2,reward,matched,1.590833,exploit_reward
17,72,run02,344.5711,5.0,CD,C,1,punish,mismatched,1.589951,exploit_reward
18,72,run02,359.5733,5.0,AB,B,2,punish,matched,1.604398,explore_reward
19,72,run02,374.5912,5.0,CD,D,1,punish,matched,1.602285,exploit_punish
20,72,run02,388.5764,5.0,EF,F,2,punish,matched,1.584419,miss_response
21,72,run02,402.5945,5.0,CD,D,2,punish,matched,1.598404,explore_punish
22,72,run02,418.5802,5.0,EF,E,1,punish,mismatched,1.596629,exploit_punish
23,72,run02,434.5817,5.0,CD,D,1,punish,matched,1.595396,explore_punish
24,72,run02,450.5836,5.0,EF,F,1,reward,mismatched,1.592809,exploit_punish
25,72,run02,466.5859,5.0,EF,F,1,punish,matched,1.574462,exploit_reward
