,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,55,run02,51.5009,5,CD,C,1,reward,matched,1.568324,
1,55,run02,67.4859,5,AB,B,2,reward,mismatched,1.5991309999999999,
2,55,run02,82.4876,5,AB,A,2,reward,matched,1.599018,explore_reward
3,55,run02,96.4892,5,EF,E,1,punish,mismatched,1.5802690000000001,
4,55,run02,110.4909,5,EF,F,1,punish,matched,1.595587,exploit_punish
5,55,run02,125.4931,5,EF,E,2,punish,mismatched,1.609178,exploit_punish
6,55,run02,141.4945,5,CD,C,1,reward,matched,1.606874,exploit_reward
7,55,run02,155.4794,5,AB,B,2,punish,matched,1.589021,explore_reward
8,55,run02,171.4817,5,EF,F,1,reward,mismatched,1.587176,exploit_punish
9,55,run02,186.483,5,EF,F,2,punish,matched,1.5860670000000001,exploit_reward
10,55,run02,201.5014,5,EF,E,1,reward,matched,1.583758,exploit_punish
11,55,run02,216.487,5,CD,D,1,reward,mismatched,1.616355,explore_reward
12,55,run02,229.5046,5,EF,E,1,punish,mismatched,1.61368,exploit_reward
13,55,run02,243.4897,5,AB,B,2,punish,matched,1.595521,explore_punish
14,55,run02,258.4919,5,EF,E,1,punish,mismatched,1.61121,explore_punish
15,55,run02,274.4933,5,CD,D,1,punish,matched,1.5926,exploit_reward
16,55,run02,288.495,5,AB,A,2,reward,matched,1.5910879999999998,exploit_punish
17,55,run02,301.4799,5,CD,C,2,reward,matched,1.605924,exploit_punish
18,55,run02,316.4987,5,CD,C,1,punish,mismatched,1.604555,exploit_reward
19,55,run02,331.4998,5,EF,E,2,reward,matched,1.6017219999999999,explore_punish
20,55,run02,345.485,5,AB,B,2,reward,mismatched,1.6000510000000001,explore_reward
21,55,run02,359.4866,5,CD,D,1,punish,matched,1.598629,exploit_punish
22,55,run02,375.4889,5,AB,A,2,reward,matched,1.59674,explore_reward
23,55,run02,391.4904,5,AB,A,1,reward,matched,1.595069,exploit_reward
24,55,run02,407.4922,5,AB,B,2,punish,matched,1.592941,explore_reward
25,55,run02,423.4778,5,EF,E,2,reward,matched,1.5743280000000002,exploit_reward
