,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,56,run03,56.6942,5,CD,D,2,punish,matched,1.58454,
1,56,run03,71.6782,5,CD,C,2,reward,matched,1.601037,exploit_punish
2,56,run03,84.6958,5,EF,F,2,punish,matched,1.615933,
3,56,run03,98.6801,5,EF,F,2,punish,matched,1.58152,explore_punish
4,56,run03,111.681,5,EF,F,1,punish,matched,1.598632,explore_punish
5,56,run03,125.682,5,EF,E,2,reward,matched,1.597532,exploit_punish
6,56,run03,138.6829,5,EF,F,2,punish,matched,1.612316,explore_reward
7,56,run03,152.6838,5,CD,C,2,punish,mismatched,1.611406,exploit_reward
8,56,run03,167.6853,5,CD,D,1,punish,matched,1.59466,exploit_punish
9,56,run03,181.686,5,EF,E,1,reward,matched,1.610131,exploit_punish
10,56,run03,198.6871,5,AB,B,1,reward,mismatched,1.5914059999999999,
11,56,run03,215.6882,5,EF,F,1,punish,matched,1.59067,explore_reward
12,56,run03,230.6892,5,EF,E,2,reward,matched,1.605726,exploit_punish
13,56,run03,243.6901,5,EF,F,2,punish,matched,1.605834,explore_reward
14,56,run03,257.6743,5,CD,D,2,reward,mismatched,1.6054540000000002,explore_punish
15,56,run03,272.6759,5,EF,E,1,punish,mismatched,1.586168,exploit_punish
16,56,run03,287.6932,5,CD,D,2,reward,mismatched,1.5862020000000001,exploit_reward
17,56,run03,304.6776,5,EF,F,1,punish,matched,1.6006770000000001,exploit_punish
18,56,run03,319.6791,5,CD,C,2,punish,mismatched,1.601245,explore_reward
19,56,run03,334.6964,5,AB,B,1,punish,matched,1.598259,exploit_reward
20,56,run03,347.6805,5,AB,A,1,punish,mismatched,1.598932,exploit_punish
21,56,run03,361.6814,5,AB,B,2,punish,matched,1.597782,exploit_punish
22,56,run03,376.683,5,CD,C,1,punish,mismatched,1.595639,explore_punish
23,56,run03,392.6837,5,EF,E,2,reward,matched,1.594417,exploit_punish
24,56,run03,406.668,5,CD,C,2,reward,matched,1.593661,explore_punish
25,56,run03,422.6862,5,EF,E,2,reward,matched,1.609546,exploit_reward
