,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,13,run04,43.8857,5,EF,E,1,reward,matched,1.554738,
1,13,run04,59.8925,5,AB,A,2,reward,matched,1.607073,
2,13,run04,74.8967,5,CD,D,1,punish,matched,1.6005340000000001,
3,13,run04,89.8855,5,AB,A,2,reward,matched,1.602778,exploit_reward
4,13,run04,105.8838,5,AB,B,1,punish,matched,1.596976,explore_reward
5,13,run04,119.8915,5,EF,F,2,punish,matched,1.606653,explore_reward
6,13,run04,134.8813,5,CD,C,1,punish,mismatched,1.6004450000000001,exploit_punish
7,13,run04,149.8847,5,EF,E,1,punish,mismatched,1.5964200000000002,exploit_punish
8,13,run04,165.8837,5,CD,C,1,reward,matched,1.597928,explore_punish
9,13,run04,181.8837,5,AB,A,2,reward,matched,1.598907,exploit_punish
10,13,run04,194.8818,5,AB,A,1,reward,matched,1.582865,exploit_reward
11,13,run04,209.8855,5,AB,B,1,reward,mismatched,1.5766280000000001,explore_reward
12,13,run04,225.885,5,CD,C,2,reward,matched,1.580784,exploit_reward
13,13,run04,239.894,5,CD,D,1,punish,matched,1.5737299999999999,explore_reward
14,13,run04,253.8874,5,CD,D,2,punish,matched,1.577523,explore_punish
15,13,run04,267.8853,5,AB,A,1,reward,matched,1.569185,explore_reward
16,13,run04,280.8941,5,EF,E,1,reward,matched,1.571078,explore_punish
17,13,run04,295.8994,5,EF,F,2,punish,matched,1.5701379999999998,explore_reward
18,13,run04,310.9025,5,EF,F,1,punish,matched,1.577951,explore_punish
19,13,run04,324.8787,5,AB,A,1,reward,matched,1.55211,exploit_reward
20,13,run04,338.9048,5,CD,C,2,reward,matched,1.576266,exploit_punish
21,13,run04,354.8885,5,AB,A,2,punish,mismatched,1.5749799999999998,exploit_reward
22,13,run04,368.8813,5,CD,C,1,reward,matched,1.567223,exploit_reward
23,13,run04,383.885,5,AB,B,2,reward,mismatched,1.5781040000000002,exploit_punish
24,13,run04,397.9104,5,AB,A,1,reward,matched,1.570605,explore_reward
25,13,run04,413.8935,5,EF,F,2,punish,matched,1.578075,explore_punish
