,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,21,run03,43.5556,5.0,EF,E,2,reward,matched,1.568482,
1,21,run03,58.5562,5.0,AB,A,1,reward,matched,1.618542,
2,21,run03,71.5571,5.0,AB,A,2,reward,matched,1.599790,exploit_reward
3,21,run03,85.5414,5.0,CD,C,1,reward,matched,1.598880,
4,21,run03,98.5424,5.0,AB,B,1,punish,matched,1.599329,explore_reward
5,21,run03,112.5429,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
6,21,run03,125.5442,5.0,AB,A,1,reward,matched,1.595710,exploit_punish
7,21,run03,139.5451,5.0,AB,B,1,punish,matched,1.594933,explore_reward
8,21,run03,154.5461,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
9,21,run03,168.5305,5.0,EF,F,2,reward,mismatched,1.594067,miss_response
10,21,run03,185.5484,5.0,CD,C,1,punish,mismatched,1.591782,miss_response
11,21,run03,202.5496,5.0,AB,B,1,punish,matched,1.607603,explore_punish
12,21,run03,217.5506,5.0,EF,F,1,punish,matched,1.589452,exploit_reward
13,21,run03,230.551,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
14,21,run03,244.5359,5.0,CD,D,1,reward,mismatched,1.588329,exploit_punish
15,21,run03,259.5373,5.0,AB,A,1,reward,matched,1.569968,exploit_punish
16,21,run03,274.5375,,CD,Miss,Miss,Miss,Miss,Miss,explore_reward
17,21,run03,291.539,5.0,AB,B,1,punish,matched,1.567788,explore_reward
18,21,run03,306.54,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
19,21,run03,321.541,5.0,CD,C,2,reward,matched,1.581923,miss_response
20,21,run03,334.5415,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
21,21,run03,348.543,5.0,AB,B,1,punish,matched,1.598015,explore_punish
22,21,run03,363.5445,5.0,AB,B,1,punish,matched,1.596015,explore_punish
23,21,run03,379.5451,5.0,EF,F,2,punish,matched,1.594948,miss_response
24,21,run03,393.546,5.0,CD,D,1,punish,matched,1.577162,miss_response
25,21,run03,409.5476,5.0,EF,F,2,punish,matched,1.576171,explore_punish
