,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,49,run02,54.9699,5.0,EF,E,1,reward,matched,1.568819,
1,49,run02,70.9706,5.0,CD,D,1,punish,matched,1.584179,
2,49,run02,85.9716,5.0,CD,C,1,punish,mismatched,1.583821,exploit_punish
3,49,run02,99.9725,5.0,AB,A,1,reward,matched,1.582499,
4,49,run02,113.9903,5.0,AB,A,2,reward,matched,1.581068,exploit_reward
5,49,run02,128.9746,5.0,EF,F,2,punish,matched,1.596619,explore_reward
6,49,run02,144.9756,5.0,AB,A,1,reward,matched,1.594781,exploit_reward
7,49,run02,158.9766,5.0,CD,D,2,punish,matched,1.578437,exploit_punish
8,49,run02,174.9777,5.0,EF,F,1,reward,mismatched,1.593739,explore_punish
9,49,run02,189.9787,5.0,CD,D,1,punish,matched,1.593191,explore_punish
10,49,run02,204.9633,5.0,AB,A,2,reward,matched,1.590410,exploit_reward
11,49,run02,219.9809,5.0,AB,B,2,punish,matched,1.607167,explore_reward
12,49,run02,232.9652,5.0,AB,B,1,punish,matched,1.589627,explore_punish
13,49,run02,246.9827,5.0,AB,A,2,reward,matched,1.604151,exploit_punish
14,49,run02,261.9672,5.0,CD,D,1,reward,mismatched,1.604316,explore_punish
15,49,run02,277.9683,5.0,AB,B,2,reward,mismatched,1.603088,explore_reward
16,49,run02,291.9692,5.0,EF,E,1,punish,mismatched,1.585599,explore_reward
17,49,run02,304.9702,5.0,AB,A,2,reward,matched,1.585000,explore_reward
18,49,run02,319.9878,5.0,CD,D,2,punish,matched,1.600932,exploit_reward
19,49,run02,334.9723,5.0,CD,C,1,reward,matched,1.599323,exploit_punish
20,49,run02,348.9732,5.0,AB,A,1,reward,matched,1.597113,exploit_reward
21,49,run02,362.9742,5.0,AB,A,2,reward,matched,1.597288,exploit_reward
22,49,run02,378.9751,5.0,EF,F,2,reward,mismatched,1.579792,exploit_punish
23,49,run02,394.9596,5.0,EF,F,2,reward,mismatched,1.594955,exploit_reward
24,49,run02,410.9602,,CD,Miss,Miss,Miss,Miss,Miss,explore_reward
25,49,run02,426.9784,5.0,EF,E,1,reward,matched,1.576263,explore_reward
