,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,14,run02,69.838,5.0,CD,D,2,punish,matched,1.570266,
1,14,run02,85.8528,5.0,EF,F,2,punish,matched,1.586707,
2,14,run02,100.8397,5.0,CD,D,1,punish,matched,1.598093,explore_punish
3,14,run02,114.8479,5.0,AB,A,2,punish,mismatched,1.587844,
4,14,run02,128.8429,5.0,AB,A,1,reward,matched,1.578339,explore_punish
5,14,run02,143.8473,5.0,CD,C,1,reward,matched,1.608820,exploit_punish
6,14,run02,159.8461,5.0,CD,D,2,reward,mismatched,1.596098,explore_reward
7,14,run02,173.8387,5.0,CD,D,2,punish,matched,1.598956,exploit_reward
8,14,run02,189.8361,,AB,Miss,Miss,Miss,Miss,Miss,miss_response
9,14,run02,204.8424,5.0,AB,B,2,reward,mismatched,1.595193,miss_response
10,14,run02,219.846,5.0,CD,D,2,reward,mismatched,1.591814,explore_punish
11,14,run02,234.8513,5.0,EF,F,1,reward,mismatched,1.587352,explore_punish
12,14,run02,247.8489,5.0,CD,D,2,punish,matched,1.589241,exploit_reward
13,14,run02,261.8576,5.0,EF,F,2,punish,matched,1.588790,exploit_reward
14,14,run02,276.8423,5.0,CD,C,2,punish,mismatched,1.591668,exploit_punish
15,14,run02,292.8428,5.0,AB,B,2,punish,matched,1.576588,exploit_reward
16,14,run02,306.8377,5.0,CD,C,1,reward,matched,1.585777,explore_punish
17,14,run02,319.8358,5.0,CD,C,2,punish,mismatched,1.587308,exploit_reward
18,14,run02,334.8573,5.0,AB,A,1,reward,matched,1.583645,exploit_punish
19,14,run02,349.8437,5.0,AB,A,2,reward,matched,1.584178,exploit_reward
20,14,run02,363.8365,5.0,AB,B,2,reward,mismatched,1.598679,explore_reward
21,14,run02,377.8627,5.0,EF,F,2,reward,mismatched,1.590805,explore_punish
22,14,run02,393.8462,5.0,EF,F,1,punish,matched,1.589354,exploit_reward
23,14,run02,409.8447,5.0,CD,C,1,punish,mismatched,1.596758,explore_punish
24,14,run02,425.8439,5.0,CD,D,1,punish,matched,1.610340,exploit_punish
25,14,run02,441.8432,5.0,EF,F,1,punish,matched,1.579407,explore_punish
