,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,86,run02,95.5822,5,AB,A,1,reward,matched,1.568276,
1,86,run02,111.5836,5,EF,E,2,reward,matched,1.582302,
2,86,run02,126.5855,5,CD,D,2,punish,matched,1.5817290000000002,
3,86,run02,140.587,5,EF,F,2,punish,matched,1.597283,explore_reward
4,86,run02,154.5887,5,AB,B,1,punish,matched,1.595106,explore_reward
5,86,run02,169.5742,5,EF,F,2,punish,matched,1.592571,explore_punish
6,86,run02,185.5757,5,CD,C,1,reward,matched,1.590066,exploit_punish
7,86,run02,199.5941,5,CD,D,1,punish,matched,1.5890950000000001,explore_reward
8,86,run02,215.5963,5,EF,E,2,reward,matched,1.603993,exploit_punish
9,86,run02,230.581,5,CD,C,1,reward,matched,1.602789,exploit_punish
10,86,run02,245.5827,5,EF,E,2,reward,matched,1.583516,exploit_reward
11,86,run02,260.5849,5,EF,E,2,reward,matched,1.582738,exploit_reward
12,86,run02,273.586,5,EF,E,1,reward,matched,1.596591,exploit_reward
13,86,run02,287.5876,5,AB,B,2,reward,mismatched,1.5953030000000001,explore_punish
14,86,run02,302.5899,5,AB,A,1,reward,matched,1.594892,explore_reward
15,86,run02,318.5912,5,AB,B,1,reward,mismatched,1.592306,explore_reward
16,86,run02,332.5762,5,CD,D,2,punish,matched,1.6077,explore_reward
17,86,run02,345.5944,5,AB,A,2,reward,matched,1.588609,explore_reward
18,86,run02,360.5799,5,AB,B,1,punish,matched,1.589166,explore_reward
19,86,run02,375.5811,5,AB,A,2,reward,matched,1.5846639999999999,exploit_punish
20,86,run02,389.5828,5,CD,D,2,punish,matched,1.6002239999999999,explore_punish
21,86,run02,403.5844,5,EF,F,1,reward,mismatched,1.5985850000000001,explore_reward
22,86,run02,419.5868,5,EF,F,2,punish,matched,1.5965120000000002,exploit_reward
23,86,run02,435.5882,5,CD,D,1,punish,matched,1.594752,explore_punish
24,86,run02,451.5901,5,EF,F,1,punish,matched,1.592897,explore_punish
25,86,run02,467.5923,5,AB,B,2,punish,matched,1.59105,explore_reward
