,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,37,run04,44.7485,5,AB,A,1,punish,mismatched,1.5681450000000001,
1,37,run04,60.7494,5,CD,C,2,reward,matched,1.599979,
2,37,run04,75.7504,5,EF,F,2,reward,mismatched,1.583633,
3,37,run04,90.7519,5,EF,F,2,punish,matched,1.597949,exploit_reward
4,37,run04,106.7526,5,AB,B,1,punish,matched,1.596465,exploit_punish
5,37,run04,120.7535,5,AB,B,2,punish,matched,1.6124120000000002,explore_punish
6,37,run04,135.755,5,CD,C,2,punish,mismatched,1.595797,exploit_reward
7,37,run04,150.7557,5,CD,C,1,reward,matched,1.5934620000000002,explore_punish
8,37,run04,166.7568,5,CD,C,1,reward,matched,1.5926,exploit_reward
9,37,run04,182.7582,5,CD,C,2,punish,mismatched,1.591744,exploit_reward
10,37,run04,195.7588,5,EF,E,1,reward,matched,1.6082940000000001,exploit_punish
11,37,run04,210.7599,5,CD,C,1,punish,mismatched,1.5907229999999999,explore_punish
12,37,run04,226.7613,5,EF,E,2,punish,mismatched,1.605464,exploit_reward
13,37,run04,240.7451,5,EF,E,1,reward,matched,1.603853,explore_punish
14,37,run04,254.7628,5,AB,A,2,reward,matched,1.6033709999999999,exploit_punish
15,37,run04,268.7471,5,CD,D,2,punish,matched,1.585679,exploit_punish
16,37,run04,281.7481,5,AB,A,2,reward,matched,1.6029229999999999,exploit_reward
17,37,run04,296.7495,5,AB,B,2,reward,mismatched,1.6003479999999999,explore_reward
18,37,run04,311.7666,5,CD,D,2,reward,mismatched,1.600171,explore_punish
19,37,run04,325.7511,5,EF,E,2,reward,matched,1.600478,exploit_reward
20,37,run04,339.752,5,CD,C,2,punish,mismatched,1.615401,explore_reward
21,37,run04,355.7536,5,CD,C,1,reward,matched,1.597758,explore_punish
22,37,run04,369.754,5,CD,D,2,punish,matched,1.597076,explore_reward
23,37,run04,384.7552,5,CD,D,2,punish,matched,1.6111659999999999,explore_punish
24,37,run04,398.7561,5,AB,A,2,reward,matched,1.609991,explore_reward
25,37,run04,414.7577,5,EF,E,2,reward,matched,1.59283,exploit_reward
