,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,60,run03,55.4043,5.0,CD,D,1,reward,mismatched,1.585308,
1,60,run03,70.408,5.0,AB,B,2,punish,matched,1.585444,
2,60,run03,83.4072,5.0,AB,A,2,reward,matched,1.613409,exploit_punish
3,60,run03,97.4008,5.0,EF,F,2,punish,matched,1.615850,
4,60,run03,110.4165,5.0,EF,F,2,punish,matched,1.620158,explore_punish
5,60,run03,124.4031,5.0,AB,B,1,punish,matched,1.611786,explore_reward
6,60,run03,137.4045,5.0,EF,F,2,reward,mismatched,1.627793,explore_punish
7,60,run03,151.4025,5.0,CD,C,2,reward,matched,1.623434,explore_reward
8,60,run03,166.4079,5.0,CD,D,1,reward,mismatched,1.621760,explore_reward
9,60,run03,180.4087,5.0,EF,E,1,punish,mismatched,1.604697,explore_reward
10,60,run03,197.4106,5.0,CD,C,1,reward,matched,1.618352,explore_reward
11,60,run03,214.4063,5.0,AB,A,1,reward,matched,1.612969,exploit_punish
12,60,run03,229.4112,5.0,AB,B,1,punish,matched,1.614541,explore_reward
13,60,run03,242.4097,5.0,AB,A,2,reward,matched,1.597151,exploit_punish
14,60,run03,256.4035,5.0,CD,D,1,punish,matched,1.628616,explore_reward
15,60,run03,271.4035,5.0,AB,B,1,reward,mismatched,1.612788,explore_reward
16,60,run03,286.4049,5.0,CD,D,1,punish,matched,1.608288,explore_punish
17,60,run03,303.4067,5.0,CD,C,2,punish,mismatched,1.609585,exploit_punish
18,60,run03,318.4083,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
19,60,run03,333.41,5.0,AB,A,2,punish,mismatched,1.620131,explore_reward
20,60,run03,346.4117,5.0,AB,A,1,reward,matched,1.619066,explore_punish
21,60,run03,360.4105,5.0,EF,F,2,reward,mismatched,1.616625,miss_response
22,60,run03,375.4164,5.0,EF,F,1,punish,matched,1.619559,exploit_reward
23,60,run03,391.4005,5.0,AB,A,2,punish,mismatched,1.611407,exploit_reward
24,60,run03,405.4012,,CD,Miss,Miss,Miss,Miss,Miss,exploit_punish
25,60,run03,421.4039,5.0,AB,A,2,reward,matched,1.612207,explore_punish
