,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,65,run02,98.5086,5.0,AB,A,1,reward,matched,1.568779,
1,65,run02,114.4933,5.0,AB,B,1,punish,matched,1.567879,explore_reward
2,65,run02,129.4952,5.0,AB,B,2,punish,matched,1.581626,explore_punish
3,65,run02,143.4964,,AB,Miss,Miss,Miss,Miss,Miss,miss_response
4,65,run02,157.4983,5.0,EF,E,1,reward,matched,1.595759,
5,65,run02,172.5007,5.0,CD,C,2,reward,matched,1.592696,
6,65,run02,188.5019,5.0,CD,D,2,punish,matched,1.590082,explore_reward
7,65,run02,202.487,5.0,EF,E,1,reward,matched,1.588891,exploit_reward
8,65,run02,218.4893,5.0,EF,F,2,reward,mismatched,1.570594,explore_reward
9,65,run02,233.4906,5.0,CD,D,1,punish,matched,1.586635,explore_punish
10,65,run02,248.509,5.0,AB,A,1,reward,matched,1.600329,miss_response
11,65,run02,263.4945,5.0,AB,B,2,reward,mismatched,1.599452,explore_reward
12,65,run02,276.4957,5.0,AB,B,1,punish,matched,1.579945,exploit_reward
13,65,run02,290.4973,5.0,EF,F,1,reward,mismatched,1.578690,exploit_reward
14,65,run02,305.4994,5.0,CD,C,2,reward,matched,1.594569,exploit_punish
15,65,run02,321.5009,5.0,AB,B,1,punish,matched,1.575610,explore_punish
16,65,run02,335.5025,5.0,AB,A,1,punish,mismatched,1.591476,exploit_punish
17,65,run02,348.4874,5.0,AB,B,1,punish,matched,1.589542,exploit_punish
18,65,run02,363.5062,5.0,EF,E,1,punish,mismatched,1.604817,explore_reward
19,65,run02,378.5075,5.0,AB,A,1,reward,matched,1.603620,exploit_punish
20,65,run02,392.4926,5.0,AB,B,2,reward,mismatched,1.567358,explore_reward
21,65,run02,406.4942,5.0,CD,D,1,punish,matched,1.581963,explore_reward
22,65,run02,422.4965,5.0,CD,C,1,reward,matched,1.596561,exploit_punish
23,65,run02,438.4979,5.0,AB,A,2,reward,matched,1.594287,explore_reward
24,65,run02,454.4997,5.0,AB,A,1,reward,matched,1.576290,exploit_reward
25,65,run02,470.4854,5.0,CD,D,1,punish,matched,1.590917,explore_reward
