,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,29,run04,47.3142,5.0,AB,A,2,reward,matched,1.568280,
1,29,run04,63.315,5.0,CD,C,1,reward,matched,1.616857,
2,29,run04,78.316,5.0,AB,B,2,punish,matched,1.601217,explore_reward
3,29,run04,93.3174,5.0,AB,B,1,punish,matched,1.598533,explore_punish
4,29,run04,109.3181,5.0,AB,B,1,punish,matched,1.597085,explore_punish
5,29,run04,123.3192,5.0,CD,C,2,reward,matched,1.596087,exploit_reward
6,29,run04,138.3207,5.0,EF,F,2,punish,matched,1.596007,
7,29,run04,153.3213,5.0,AB,A,1,reward,matched,1.577488,exploit_punish
8,29,run04,169.3224,5.0,EF,E,1,punish,mismatched,1.610020,exploit_punish
9,29,run04,185.3233,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
10,29,run04,198.3243,5.0,CD,D,1,punish,matched,1.591889,miss_response
11,29,run04,213.3254,5.0,AB,A,1,reward,matched,1.589893,exploit_reward
12,29,run04,229.3269,5.0,CD,D,2,punish,matched,1.590189,explore_punish
13,29,run04,243.3106,5.0,CD,C,2,reward,matched,1.588086,exploit_punish
14,29,run04,257.3284,5.0,AB,B,1,punish,matched,1.603811,explore_reward
15,29,run04,271.3125,5.0,CD,D,1,punish,matched,1.586426,explore_reward
16,29,run04,284.3136,5.0,CD,C,2,reward,matched,1.585876,exploit_punish
17,29,run04,299.3151,5.0,AB,A,1,reward,matched,1.583941,exploit_punish
18,29,run04,314.3155,5.0,EF,E,2,punish,mismatched,1.584851,explore_punish
19,29,run04,328.3162,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
20,29,run04,342.3171,,AB,Miss,Miss,Miss,Miss,Miss,miss_response
21,29,run04,358.3192,5.0,CD,D,2,reward,mismatched,1.598831,miss_response
22,29,run04,372.3196,5.0,EF,F,1,reward,mismatched,1.597721,exploit_punish
23,29,run04,387.3207,5.0,CD,D,1,punish,matched,1.610921,exploit_reward
24,29,run04,401.3216,5.0,AB,A,2,reward,matched,1.593701,miss_response
25,29,run04,417.3064,5.0,AB,B,2,punish,matched,1.576432,explore_reward
