,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,52,run01,166.5014,,EF,Miss,Miss,Miss,Miss,Miss,
1,52,run01,181.5031,5.0,EF,F,1,punish,matched,1.567599,miss_response
2,52,run01,197.505,5.0,EF,E,2,reward,matched,1.565469,exploit_punish
3,52,run01,211.5061,,AB,Miss,Miss,Miss,Miss,Miss,
4,52,run01,224.5077,,CD,Miss,Miss,Miss,Miss,Miss,
5,52,run01,239.5096,,CD,Miss,Miss,Miss,Miss,Miss,miss_response
6,52,run01,253.4945,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
7,52,run01,266.4964,5.0,EF,E,2,reward,matched,1.589138,miss_response
8,52,run01,281.4977,,EF,Miss,Miss,Miss,Miss,Miss,explore_reward
9,52,run01,294.4992,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
10,52,run01,307.5008,,AB,Miss,Miss,Miss,Miss,Miss,miss_response
11,52,run01,322.5029,5.0,AB,A,1,punish,mismatched,1.565761,miss_response
12,52,run01,335.5046,5.0,AB,B,1,reward,mismatched,1.566736,exploit_punish
13,52,run01,350.5063,5.0,EF,F,1,punish,matched,1.596435,miss_response
14,52,run01,363.5079,5.0,EF,E,2,reward,matched,1.563199,exploit_punish
15,52,run01,378.5096,5.0,EF,F,2,reward,mismatched,1.575717,explore_reward
16,52,run01,393.4942,,AB,Miss,Miss,Miss,Miss,Miss,miss_response
17,52,run01,409.4965,5.0,AB,B,1,punish,matched,1.573594,miss_response
18,52,run01,424.5145,,EF,Miss,Miss,Miss,Miss,Miss,miss_response
19,52,run01,439.5167,5.0,CD,D,2,punish,matched,1.602989,miss_response
20,52,run01,452.5182,5.0,EF,F,1,punish,matched,1.567354,miss_response
21,52,run01,465.503,5.0,EF,F,1,punish,matched,1.584646,explore_punish
22,52,run01,479.5047,5.0,AB,A,1,punish,mismatched,1.598427,exploit_punish
23,52,run01,493.5063,5.0,EF,E,2,punish,mismatched,1.580080,exploit_punish
24,52,run01,508.5081,5.0,AB,A,1,reward,matched,1.578204,explore_punish
25,52,run01,522.5097,5.0,CD,D,1,reward,mismatched,1.577940,explore_punish
