34	run01	AB	Miss	Miss	Miss	Miss	Miss
34	run01	CD	D	2	reward	mismatched	1.584534
34	run01	CD	C	1	punish	mismatched	1.600387
34	run01	AB	B	2	punish	matched	1.582400
34	run01	EF	F	2	punish	matched	1.580537
34	run01	CD	D	1	reward	mismatched	1.597114
34	run01	CD	C	2	reward	matched	1.595996
34	run01	EF	F	1	punish	matched	1.595676
34	run01	AB	B	2	reward	mismatched	1.594170
34	run01	AB	Miss	Miss	Miss	Miss	Miss
34	run01	EF	F	1	punish	matched	1.594083
34	run01	EF	F	2	punish	matched	1.590630
34	run01	EF	F	1	punish	matched	1.590148
34	run01	EF	E	2	punish	mismatched	1.588627
34	run01	CD	D	2	punish	matched	1.588630
34	run01	AB	A	2	reward	matched	1.603321
34	run01	CD	C	2	reward	matched	1.602747
34	run01	CD	D	1	reward	mismatched	1.602545
34	run01	CD	D	1	punish	matched	1.599927
34	run01	CD	D	2	punish	matched	1.583563
34	run01	EF	F	1	reward	mismatched	1.598379
34	run01	CD	D	1	punish	matched	1.614903
34	run01	CD	D	2	punish	matched	1.597666
34	run01	AB	A	1	reward	matched	1.596329
34	run01	CD	C	1	reward	matched	1.594392
34	run01	CD	D	2	punish	matched	1.609618
34	run02	CD	C	2	punish	mismatched	1.568280
34	run02	CD	C	1	punish	mismatched	1.583047
34	run02	EF	F	2	punish	matched	1.601576
34	run02	EF	E	1	reward	matched	1.599477
34	run02	CD	C	2	punish	mismatched	1.581871
34	run02	AB	B	1	punish	matched	1.579276
34	run02	EF	E	1	reward	matched	1.594575
34	run02	EF	E	1	reward	matched	1.594079
34	run02	EF	E	2	reward	matched	1.592914
34	run02	CD	C	1	reward	matched	1.609960
34	run02	EF	E	1	reward	matched	1.574101
34	run02	AB	A	2	reward	matched	1.590993
34	run02	EF	F	2	reward	mismatched	1.588571
34	run02	AB	A	1	reward	matched	1.604655
34	run02	EF	E	2	reward	matched	1.604944
34	run02	EF	E	2	punish	mismatched	1.586929
34	run02	EF	F	1	punish	matched	1.586054
34	run02	EF	E	2	reward	matched	1.583922
34	run02	EF	E	2	reward	matched	1.584561
34	run02	AB	B	1	punish	matched	1.581408
34	run02	AB	B	2	reward	mismatched	1.581161
34	run02	EF	F	1	punish	matched	1.596687
34	run02	AB	A	2	reward	matched	1.595568
34	run02	EF	F	2	punish	matched	1.593983
34	run02	AB	B	2	punish	matched	1.594296
34	run02	CD	C	1	punish	mismatched	1.592367
34	run03	EF	F	2	reward	mismatched	1.568053
34	run03	AB	A	2	punish	mismatched	1.585646
34	run03	CD	D	2	punish	matched	1.582641
34	run03	CD	D	1	reward	mismatched	1.615193
34	run03	AB	B	2	punish	matched	1.598798
34	run03	CD	D	2	punish	matched	1.597383
34	run03	AB	B	1	reward	mismatched	1.596079
34	run03	EF	F	1	reward	mismatched	1.595595
34	run03	EF	F	1	punish	matched	1.594592
34	run03	CD	C	1	reward	matched	1.609762
34	run03	AB	A	2	reward	matched	1.607939
34	run03	CD	D	1	punish	matched	1.590752
34	run03	AB	B	2	reward	mismatched	1.606851
34	run03	CD	D	1	punish	matched	1.606364
34	run03	EF	E	1	reward	matched	1.604973
34	run03	AB	A	2	reward	matched	1.586251
34	run03	AB	Miss	Miss	Miss	Miss	Miss
34	run03	EF	E	2	reward	matched	1.600753
34	run03	AB	A	1	reward	matched	1.600733
34	run03	EF	E	2	reward	matched	1.581549
34	run03	EF	E	1	reward	matched	1.582020
34	run03	AB	B	2	punish	matched	1.581003
34	run03	EF	F	2	punish	matched	1.595759
34	run03	EF	E	1	reward	matched	1.594285
34	run03	EF	E	2	reward	matched	1.577609
34	run03	EF	F	2	punish	matched	1.592595
34	run04	AB	A	2	reward	matched	1.584929
34	run04	CD	C	1	reward	matched	1.616596
34	run04	EF	E	1	reward	matched	1.600165
34	run04	CD	C	1	punish	mismatched	1.581146
34	run04	AB	B	2	punish	matched	1.579784
34	run04	CD	D	2	punish	matched	1.595571
34	run04	AB	A	1	punish	mismatched	1.612852
34	run04	EF	F	2	reward	mismatched	1.577497
34	run04	EF	F	1	punish	matched	1.592423
34	run04	AB	A	1	reward	matched	1.591266
34	run04	CD	D	1	punish	matched	1.591415
34	run04	EF	E	1	reward	matched	1.589321
34	run04	CD	C	1	punish	mismatched	1.588286
34	run04	AB	Miss	Miss	Miss	Miss	Miss
34	run04	EF	F	1	reward	mismatched	1.586332
34	run04	EF	E	2	reward	matched	1.585347
34	run04	EF	E	2	reward	matched	1.618704
34	run04	AB	B	1	punish	matched	1.584143
34	run04	AB	A	2	reward	matched	1.584201
34	run04	AB	A	2	reward	matched	1.600281
34	run04	AB	A	2	punish	mismatched	1.582376
34	run04	AB	A	1	reward	matched	1.580824
34	run04	AB	B	2	punish	matched	1.596613
34	run04	EF	E	1	punish	mismatched	1.593315
34	run04	EF	F	2	punish	matched	1.576343
34	run04	AB	A	1	reward	matched	1.592060
