84	run01	EF	Miss	Miss	Miss	Miss	Miss
84	run01	CD	D	2	punish	matched	1.584677
84	run01	CD	C	2	reward	matched	1.599488
84	run01	EF	F	1	punish	matched	1.613795
84	run01	AB	B	2	punish	matched	1.594262
84	run01	CD	D	1	punish	matched	1.593570
84	run01	CD	D	1	punish	matched	1.608675
84	run01	AB	A	1	punish	mismatched	1.605939
84	run01	EF	F	2	reward	mismatched	1.621992
84	run01	EF	E	1	reward	matched	1.586992
84	run01	CD	D	1	punish	matched	1.602306
84	run01	EF	Miss	Miss	Miss	Miss	Miss
84	run01	AB	B	1	punish	matched	1.599119
84	run01	CD	C	2	reward	matched	1.596209
84	run01	AB	B	1	punish	matched	1.595755
84	run01	EF	E	2	punish	mismatched	1.593874
84	run01	CD	C	2	reward	matched	1.592068
84	run01	EF	E	2	punish	mismatched	1.606865
84	run01	EF	E	1	reward	matched	1.587341
84	run01	AB	A	2	reward	matched	1.586662
84	run01	EF	E	2	reward	matched	1.584847
84	run01	CD	C	2	punish	mismatched	1.600642
84	run01	EF	E	1	punish	mismatched	1.599317
84	run01	EF	E	1	punish	mismatched	1.597081
84	run01	EF	E	2	reward	matched	1.595252
84	run01	CD	C	1	punish	mismatched	1.608955
84	run02	CD	C	2	reward	matched	1.567710
84	run02	EF	E	1	punish	mismatched	1.566193
84	run02	CD	D	1	punish	matched	1.582976
84	run02	CD	C	1	reward	matched	1.563503
84	run02	EF	E	1	punish	mismatched	1.594808
84	run02	AB	A	2	reward	matched	1.592964
84	run02	AB	B	1	reward	mismatched	1.590109
84	run02	AB	B	1	punish	matched	1.588513
84	run02	AB	B	2	punish	matched	1.586557
84	run02	EF	F	1	punish	matched	1.586013
84	run02	EF	F	1	punish	matched	1.584145
84	run02	AB	B	2	punish	matched	1.599425
84	run02	EF	E	1	reward	matched	1.597646
84	run02	EF	E	2	punish	mismatched	1.578082
84	run02	EF	E	2	punish	mismatched	1.577319
84	run02	EF	E	2	reward	matched	1.575632
84	run02	EF	E	2	punish	mismatched	1.607258
84	run02	EF	F	1	punish	matched	1.588098
84	run02	AB	A	1	reward	matched	1.587324
84	run02	AB	B	2	punish	matched	1.584555
84	run02	AB	B	1	punish	matched	1.583334
84	run02	AB	A	2	reward	matched	1.598037
84	run02	CD	C	2	reward	matched	1.597045
84	run02	EF	F	2	punish	matched	1.611186
84	run02	EF	E	2	punish	mismatched	1.593401
84	run02	AB	A	2	reward	matched	1.574049
84	run03	CD	D	2	punish	matched	1.568078
84	run03	CD	C	2	punish	mismatched	1.568351
84	run03	CD	D	2	punish	matched	1.565202
84	run03	EF	F	2	punish	matched	1.596217
84	run03	EF	E	2	reward	matched	1.579281
84	run03	AB	A	1	reward	matched	1.611129
84	run03	CD	D	2	punish	matched	1.608141
84	run03	CD	C	2	reward	matched	1.590101
84	run03	EF	E	2	reward	matched	1.589478
84	run03	AB	B	1	punish	matched	1.587467
84	run03	CD	D	2	punish	matched	1.584488
84	run03	EF	F	2	reward	mismatched	1.583100
84	run03	CD	C	2	punish	mismatched	1.580981
84	run03	AB	B	2	punish	matched	1.580812
84	run03	CD	D	2	punish	matched	1.595466
84	run03	AB	A	1	reward	matched	1.593238
84	run03	EF	F	1	punish	matched	1.575238
84	run03	EF	E	1	reward	matched	1.572049
84	run03	EF	E	2	punish	mismatched	1.588152
84	run03	AB	A	2	reward	matched	1.585088
84	run03	EF	E	1	reward	matched	1.602828
84	run03	EF	E	1	reward	matched	1.599863
84	run03	CD	C	1	reward	matched	1.597075
84	run03	CD	C	1	reward	matched	1.595329
84	run03	CD	D	1	punish	matched	1.593539
84	run03	CD	C	2	reward	matched	1.591976
84	run04	AB	B	2	punish	matched	1.585026
84	run04	AB	B	1	punish	matched	1.580310
84	run04	AB	B	2	punish	matched	1.597034
84	run04	AB	B	1	punish	matched	1.585751
84	run04	EF	F	2	reward	mismatched	1.594824
84	run04	AB	A	2	reward	matched	1.592970
84	run04	EF	F	2	punish	matched	1.605321
84	run04	AB	A	2	punish	mismatched	1.601887
84	run04	EF	F	2	punish	matched	1.603080
84	run04	AB	A	1	reward	matched	1.613885
84	run04	CD	C	1	punish	mismatched	1.600907
84	run04	EF	E	1	reward	matched	1.597413
84	run04	CD	C	2	reward	matched	1.596673
84	run04	EF	F	2	punish	matched	1.602296
84	run04	EF	F	2	reward	mismatched	1.593737
84	run04	AB	A	2	punish	mismatched	1.606228
84	run04	AB	B	2	reward	mismatched	1.591382
84	run04	EF	F	1	punish	matched	1.611175
84	run04	EF	E	2	punish	mismatched	1.604912
84	run04	CD	C	2	punish	mismatched	1.586189
84	run04	AB	B	2	reward	mismatched	1.604147
84	run04	CD	C	2	reward	matched	1.612679
84	run04	AB	A	2	punish	mismatched	1.615093
84	run04	CD	C	1	reward	matched	1.600366
84	run04	CD	D	2	punish	matched	1.608807
84	run04	CD	C	2	punish	mismatched	1.594672
