03	run01	AB	Miss	Miss	Miss	Miss	Miss
03	run01	CD	C	2	reward	matched	1.575860
03	run01	AB	A	1	reward	matched	1.582725
03	run01	AB	A	2	reward	matched	1.583955
03	run01	CD	C	1	reward	matched	1.586933
03	run01	EF	E	2	reward	matched	1.581718
03	run01	AB	A	1	reward	matched	1.587818
03	run01	EF	E	2	reward	matched	1.595712
03	run01	EF	E	1	reward	matched	1.584680
03	run01	AB	A	2	reward	matched	1.592392
03	run01	AB	B	2	punish	matched	1.574637
03	run01	CD	D	1	punish	matched	1.586783
03	run01	CD	C	2	reward	matched	1.587463
03	run01	CD	D	2	punish	matched	1.585720
03	run01	EF	E	1	reward	matched	1.571100
03	run01	AB	B	2	punish	matched	1.579705
03	run01	CD	C	1	reward	matched	1.593982
03	run01	CD	C	1	reward	matched	1.577211
03	run01	AB	B	1	punish	matched	1.592915
03	run01	AB	B	2	punish	matched	1.586607
03	run01	CD	D	2	punish	matched	1.588220
03	run01	CD	D	2	punish	matched	1.588601
03	run01	EF	F	2	reward	mismatched	1.596289
03	run01	AB	B	2	punish	matched	1.586583
03	run01	EF	E	2	punish	mismatched	1.584414
03	run01	EF	E	2	reward	matched	1.577263
03	run02	EF	F	2	punish	matched	1.552185
03	run02	EF	E	2	reward	matched	1.582602
03	run02	AB	B	1	punish	matched	1.577093
03	run02	CD	C	2	reward	matched	1.584444
03	run02	CD	D	2	punish	matched	1.580765
03	run02	AB	A	2	punish	mismatched	1.581415
03	run02	AB	A	2	reward	matched	1.587716
03	run02	CD	D	1	reward	mismatched	1.579658
03	run02	AB	A	1	reward	matched	1.597706
03	run02	AB	B	1	punish	matched	1.574841
03	run02	CD	D	1	reward	mismatched	1.575609
03	run02	CD	C	2	reward	matched	1.598901
03	run02	AB	B	2	reward	mismatched	1.589639
03	run02	EF	E	1	reward	matched	1.577467
03	run02	AB	A	2	punish	mismatched	1.587131
03	run02	CD	D	1	punish	matched	1.589645
03	run02	CD	D	2	punish	matched	1.594946
03	run02	EF	E	1	punish	mismatched	1.584259
03	run02	EF	F	2	punish	matched	1.591752
03	run02	EF	F	1	reward	mismatched	1.574190
03	run02	CD	C	2	punish	mismatched	1.565675
03	run02	CD	D	2	punish	matched	1.589352
03	run02	CD	D	2	punish	matched	1.589379
03	run02	CD	C	2	punish	mismatched	1.578603
03	run02	CD	C	2	reward	matched	1.593813
03	run02	CD	C	2	reward	matched	1.576224
03	run03	CD	C	2	reward	matched	1.563612
03	run03	EF	F	2	punish	matched	1.576129
03	run03	AB	A	1	reward	matched	1.584156
03	run03	AB	A	2	reward	matched	1.585688
03	run03	CD	D	1	punish	matched	1.570897
03	run03	CD	C	1	punish	mismatched	1.581419
03	run03	CD	D	2	punish	matched	1.595673
03	run03	AB	B	2	reward	mismatched	1.587391
03	run03	EF	F	1	reward	mismatched	1.582342
03	run03	AB	B	2	punish	matched	1.577359
03	run03	EF	F	1	reward	mismatched	1.597664
03	run03	AB	B	1	punish	matched	1.584715
03	run03	CD	D	2	punish	matched	1.597383
03	run03	CD	D	1	punish	matched	1.590563
03	run03	CD	D	1	punish	matched	1.590793
03	run03	EF	F	1	reward	mismatched	1.589288
03	run03	EF	F	2	punish	matched	1.581684
03	run03	EF	F	2	reward	mismatched	1.589997
03	run03	AB	B	1	punish	matched	1.584539
03	run03	AB	B	2	punish	matched	1.584586
03	run03	AB	B	1	punish	matched	1.582733
03	run03	AB	A	2	reward	matched	1.588425
03	run03	AB	A	1	punish	mismatched	1.597283
03	run03	CD	D	2	punish	matched	1.586835
03	run03	EF	F	1	reward	mismatched	1.595417
03	run03	AB	B	1	punish	matched	1.592076
03	run04	EF	E	1	reward	matched	1.564207
03	run04	AB	B	1	punish	matched	1.581376
03	run04	EF	E	1	reward	matched	1.592468
03	run04	EF	E	1	reward	matched	1.590450
03	run04	AB	A	2	punish	mismatched	1.573051
03	run04	AB	A	2	punish	mismatched	1.584682
03	run04	CD	C	1	reward	matched	1.581147
03	run04	CD	D	2	punish	matched	1.596636
03	run04	AB	B	1	reward	mismatched	1.588399
03	run04	AB	A	2	punish	mismatched	1.590875
03	run04	AB	B	2	punish	matched	1.577212
03	run04	EF	F	2	reward	mismatched	1.571585
03	run04	AB	A	2	reward	matched	1.589867
03	run04	AB	B	1	punish	matched	1.578808
03	run04	CD	D	2	punish	matched	1.589944
03	run04	AB	A	2	punish	mismatched	1.591592
03	run04	AB	B	2	punish	matched	1.579284
03	run04	AB	B	1	punish	matched	1.591072
03	run04	AB	B	2	reward	mismatched	1.586117
03	run04	CD	C	1	reward	matched	1.593842
03	run04	CD	C	1	reward	matched	1.585091
03	run04	EF	F	2	punish	matched	1.585252
03	run04	CD	C	2	reward	matched	1.597281
03	run04	EF	F	1	reward	mismatched	1.582386
03	run04	EF	E	2	reward	matched	1.580128
03	run04	EF	E	1	reward	matched	1.581110
