44	run01	EF	Miss	Miss	Miss	Miss	Miss
44	run01	EF	F	1	punish	matched	1.600648
44	run01	CD	D	2	punish	matched	1.599877
44	run01	CD	D	2	punish	matched	1.598987
44	run01	EF	F	1	reward	mismatched	1.597179
44	run01	CD	D	1	punish	matched	1.580472
44	run01	EF	E	1	punish	mismatched	1.595717
44	run01	CD	D	1	reward	mismatched	1.594252
44	run01	EF	Miss	Miss	Miss	Miss	Miss
44	run01	EF	F	2	reward	mismatched	1.608587
44	run01	CD	D	2	punish	matched	1.592540
44	run01	CD	D	1	punish	matched	1.590581
44	run01	CD	D	1	punish	matched	1.606760
44	run01	CD	C	2	punish	mismatched	1.588641
44	run01	EF	F	1	reward	mismatched	1.588564
44	run01	CD	C	1	reward	matched	1.586574
44	run01	EF	E	2	punish	mismatched	1.602851
44	run01	AB	B	2	punish	matched	1.585406
44	run01	AB	A	2	reward	matched	1.600181
44	run01	CD	C	1	reward	matched	1.599613
44	run01	CD	D	2	punish	matched	1.598042
44	run01	EF	F	2	punish	matched	1.598915
44	run01	AB	A	1	reward	matched	1.580976
44	run01	EF	Miss	Miss	Miss	Miss	Miss
44	run01	AB	B	1	punish	matched	1.594362
44	run01	AB	Miss	Miss	Miss	Miss	Miss
44	run02	AB	A	2	reward	matched	1.585008
44	run02	EF	E	1	punish	mismatched	1.583063
44	run02	CD	C	2	reward	matched	1.616729
44	run02	CD	D	2	punish	matched	1.599037
44	run02	AB	A	1	reward	matched	1.597970
44	run02	EF	E	2	reward	matched	1.579500
44	run02	CD	D	1	punish	matched	1.594462
44	run02	CD	C	2	reward	matched	1.594117
44	run02	AB	A	1	reward	matched	1.576096
44	run02	EF	F	2	punish	matched	1.592856
44	run02	CD	D	2	punish	matched	1.607593
44	run02	AB	B	1	reward	mismatched	1.591567
44	run02	EF	F	2	punish	matched	1.588640
44	run02	CD	C	2	punish	mismatched	1.587869
44	run02	AB	B	2	punish	matched	1.588310
44	run02	AB	B	1	punish	matched	1.586394
44	run02	EF	E	2	punish	mismatched	1.602404
44	run02	EF	E	1	reward	matched	1.600910
44	run02	CD	D	2	punish	matched	1.600994
44	run02	EF	F	1	punish	matched	1.581607
44	run02	CD	D	1	punish	matched	1.597825
44	run02	CD	D	2	punish	matched	1.579900
44	run02	AB	A	2	reward	matched	1.595411
44	run02	AB	A	2	reward	matched	1.610842
44	run02	EF	E	1	reward	matched	1.593148
44	run02	AB	A	2	reward	matched	1.592033
44	run03	CD	C	2	reward	matched	1.586897
44	run03	CD	C	2	reward	matched	1.599152
44	run03	EF	E	2	punish	mismatched	1.600254
44	run03	EF	F	2	punish	matched	1.615246
44	run03	AB	A	1	reward	matched	1.612772
44	run03	CD	C	1	reward	matched	1.609537
44	run03	CD	C	2	reward	matched	1.614221
44	run03	EF	F	1	punish	matched	1.611300
44	run03	EF	F	2	reward	mismatched	1.604072
44	run03	EF	F	1	punish	matched	1.614249
44	run03	AB	B	1	reward	mismatched	1.604434
44	run03	EF	F	2	punish	matched	1.609871
44	run03	CD	D	1	reward	mismatched	1.606625
44	run03	CD	C	1	punish	mismatched	1.618037
44	run03	CD	C	2	reward	matched	1.620825
44	run03	CD	D	2	reward	mismatched	1.617062
44	run03	EF	E	1	reward	matched	1.616984
44	run03	AB	A	2	reward	matched	1.612615
44	run03	AB	A	2	reward	matched	1.607646
44	run03	EF	F	2	punish	matched	1.612402
44	run03	CD	C	2	reward	matched	1.614463
44	run03	CD	C	1	reward	matched	1.613350
44	run03	CD	C	2	punish	mismatched	1.613028
44	run03	AB	B	1	punish	matched	1.611548
44	run03	CD	C	2	reward	matched	1.607546
44	run03	EF	E	2	punish	mismatched	1.614661
44	run04	AB	A	1	punish	mismatched	1.551148
44	run04	AB	B	2	punish	matched	1.566925
44	run04	EF	E	2	punish	mismatched	1.583459
44	run04	EF	E	1	reward	matched	1.598379
44	run04	AB	A	1	reward	matched	1.596900
44	run04	CD	D	1	reward	mismatched	1.596255
44	run04	AB	A	2	reward	matched	1.579307
44	run04	CD	D	1	punish	matched	1.593440
44	run04	EF	E	1	punish	mismatched	1.576070
44	run04	EF	F	2	punish	matched	1.574917
44	run04	CD	C	1	punish	mismatched	1.591398
44	run04	EF	E	2	punish	mismatched	1.573101
44	run04	CD	C	2	reward	matched	1.588508
44	run04	AB	B	1	punish	matched	1.587184
44	run04	CD	C	1	reward	matched	1.603313
44	run04	AB	B	2	reward	mismatched	1.585656
44	run04	AB	B	2	punish	matched	1.585821
44	run04	AB	B	1	punish	matched	1.583655
44	run04	AB	A	2	reward	matched	1.600293
44	run04	CD	C	2	reward	matched	1.582860
44	run04	EF	E	2	reward	matched	1.598792
44	run04	AB	A	2	reward	matched	1.581251
44	run04	EF	F	1	punish	matched	1.579533
44	run04	CD	D	1	punish	matched	1.594411
44	run04	CD	D	1	punish	matched	1.593337
44	run04	AB	A	1	reward	matched	1.592201
