,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
71,82,run03,CD,D,2,punish,matched,1.613910,,,0.6896551724137931,,,,explore_punish
72,82,run03,EF,E,1,punish,mismatched,1.612973,,,,,,0.5238095238095238,exploit_reward
73,82,run03,AB,B,2,punish,matched,1.616295,0.8181818181818182,,,,,,explore_reward
74,82,run03,AB,B,1,reward,mismatched,1.600482,,0.21739130434782608,,,,,explore_punish
75,82,run03,AB,A,1,reward,matched,1.608101,0.7916666666666666,,,,,,explore_reward
76,82,run03,CD,C,1,reward,matched,1.622089,,,0.7,,,,exploit_punish
77,82,run03,EF,F,1,punish,matched,1.608215,,,,,0.5,,exploit_punish
78,82,run04,AB,A,2,reward,matched,1.551285,0.8,,,,,,exploit_reward
79,82,run04,EF,F,1,punish,matched,1.582147,,,,,0.5217391304347826,,explore_punish
80,82,run04,EF,E,2,reward,matched,1.598264,,,,,0.5416666666666666,,exploit_punish
81,82,run04,CD,D,1,reward,mismatched,1.595076,,,,0.3225806451612903,,,explore_reward
82,82,run04,AB,A,2,punish,mismatched,1.594728,,0.23076923076923078,,,,,exploit_reward
83,82,run04,EF,F,1,punish,matched,1.593321,,,,,0.56,,explore_reward
84,82,run04,CD,C,2,reward,matched,1.607562,,,0.6875,,,,explore_reward
85,82,run04,AB,B,1,punish,matched,1.589433,0.7777777777777778,,,,,,exploit_punish
86,82,run04,AB,B,2,reward,mismatched,1.603165,,0.25,,,,,explore_punish
87,82,run04,EF,F,1,punish,matched,1.584443,,,,,0.5769230769230769,,explore_punish
88,82,run04,EF,E,1,punish,mismatched,1.584033,,,,,,0.4444444444444444,exploit_punish
89,82,run04,EF,E,1,punish,mismatched,1.598020,,,,,,0.4642857142857143,explore_punish
90,82,run04,CD,C,2,reward,matched,1.597194,,,0.696969696969697,,,,exploit_reward
91,82,run04,CD,D,1,punish,matched,1.594461,,,0.7058823529411765,,,,explore_reward
92,82,run04,EF,E,2,punish,mismatched,1.592855,,,,,,0.4827586206896552,explore_punish
93,82,run04,EF,F,1,reward,mismatched,1.591976,,,,,,0.5,exploit_punish
94,82,run04,CD,C,1,reward,matched,1.590730,,,0.7142857142857143,,,,exploit_punish
95,82,run04,CD,D,1,punish,matched,1.587824,,,0.7222222222222222,,,,explore_reward
96,82,run04,CD,D,2,punish,matched,1.587354,,,0.7297297297297297,,,,explore_punish
97,82,run04,EF,F,2,punish,matched,1.585634,,,,,0.5161290322580645,,exploit_reward
98,82,run04,EF,E,1,reward,matched,1.617213,,,,,0.53125,,exploit_punish
99,82,run04,CD,D,2,punish,matched,1.615734,,,0.7368421052631579,,,,explore_punish
100,82,run04,CD,D,1,punish,matched,1.580529,,,0.7435897435897436,,,,explore_punish
101,82,run04,AB,A,2,reward,matched,1.594447,0.7586206896551724,,,,,,explore_reward
102,82,run04,EF,E,1,reward,matched,1.592846,,,,,0.5454545454545454,,exploit_reward
103,82,run04,CD,C,1,punish,mismatched,1.592661,,,,0.275,,,exploit_punish
